gen_vendor_normalized,total_entries,total_contracts,total_amendments
SAMSON & ASSOCIATES,105,23,82
EXCEL HUMAN RESOURCES,78,18,60
SHARP ELECTRONICS,77,59,18
TOTEM OFFISOURCE,41,11,30
XEROX,34,19,15
CFG INTERVENTIONS,33,5,28
A?COLE DE LANGUES LA CITA?,31,8,23
A?COLE CREUSOT 3005526 CA,26,4,22
FRISCHKORN ASSOCIATES,24,12,12
BARBARA PERSONNEL,22,3,19
QMR,21,4,17
LOBB MANAGEMENT SERVICES,20,8,12
E S TUNIS & ASSOCIATES,19,1,18
APPRENTISSAGE CONTINUUM LEARNING,19,10,9
NC CONSULTING AND TRAINING,19,9,10
MAPLESOFT CONSULTING,19,8,11
A?COLE DE LANGUES DE LA CITA?,18,3,15
TOP BOX CONSULTING GROUP,17,11,6
INTEGRATED LEARNING INTERNATIONAL,17,7,10
SAMSON & ASSOCIATES CPA CONSULTING,16,16,0
MC PLANNING,16,11,5
ALTIS HUMAN RESOURCES,16,10,6
THE ASSOCIATES GROUP OF COMPANIES,16,4,12
ART WOODS BURO PLUS,16,3,13
THRESHOLD ASSOCIATES,16,6,10
TELUS CANADA,16,16,0
CONVERSART,16,3,13
GOSS GILROY,16,13,3
CENTRE DE TRADUCTION CARON LTA?E,15,4,11
SKILSPLUS TRAINING CORP,15,3,12
DURIVAGE MANAGEMENT SOLUTIONS,14,13,1
INSTRUX MEDIA,14,3,11
IBM CANADA,14,5,9
CENTRE DE FORMATION CARON LTEE,14,2,12
MAXSYS,14,5,9
CALIAN,14,5,9
THE RETIREMENT PLANNING INSTITUTE,13,9,4
LA CITA? COLLA?GIALE,12,10,2
APPLIED ELECTONICS,12,12,0
PERSONNEL FORCE/TECH FORCE,12,4,8
DGB CONSULTING,12,4,8
PERSONNEL OUTAOUAIS ENR,12,2,10
LORNE PLUNKETT & ASSOCIATES,12,5,7
L V DAVIES AND ASSOCIATES,12,7,5
SKILLSOFT CANADA,12,11,1
PLANOVATION,12,5,7
VANGUARD EMERGENCY MANAGEMENT,12,4,8
GAGNA? & ASSOCIATES,11,4,7
SANTA?PLUS RESEARCH ASSOCIATES,11,4,7
EBSCO CANADA,11,6,5
SYRECON,11,8,3
CENTRE DE FORMATION PROFESSIONNELLE ET LINGUISTIQUE CARON LTA?E,11,4,7
CCR CONSULTING,11,3,8
LISA CORMIER & ASSOCIATES,11,7,4
GRV MANAGEMENT CONSULTANTS,11,4,7
C O REILLY AND CONSULTANTS,11,4,7
J-M PELLERIN CONSULTANT,10,5,5
DOCUMENTS MAJEMTA,10,8,2
TAG HR,10,7,3
INFINITY CONSULTING TEAM,10,6,4
A?COLE DE LANGUES CREUSOT,10,4,6
PHCONSULTING,10,3,7
OLAV CONSULTING,10,5,5
ADVANCED BUSINESS INTERIORS,10,10,0
LEGAULT SMELTZER CONSULTATION,10,5,5
CENTRE DE FORMATION PROFESSIONNELLE,10,2,8
ADRM TECHNOLOGY CONSULTING,10,6,4
3005526 CA A?COLE CREUSOT,10,1,9
KENWAY CONSULTING,9,2,7
NISHA TECHONOLOGIES,9,7,2
ECOLE DE LANGUES DE L ESTRIE,9,2,7
INSIGHTS LEARNING & DEVELOPMENT,9,6,3
MANSELL RANKIN AND ASSOCIATES,9,2,7
A?COLE DE LANGUES ABCE,9,8,1
TURTLE ISLAND STAFFING,9,6,3
GROUPE POLIQUIN-WAKEFIELD,9,3,6
AVIARY GROUP,9,9,0
TEMAS MANAGEMENT,9,3,6
COLLA?GE A?DUCACENTRE COLLEGE,8,7,1
NC CONSULTING & TRAINING,8,6,2
CHAMBERLAIN TRAINING AND CONSULTING,8,4,4
ACTION PERSONNEL OF OTTAWA-HULL,8,3,5
JOHN EDWARD PEDERSEN,8,4,4
ITEX,8,8,0
BP&M CONSULTING,8,4,4
DARE HUMAN RESOURCES CORPORATION,8,2,6
MANAGEMENT DESIGN,8,4,4
GARTNER,7,6,1
THE CONFERENCE BOARD OF CANADA,7,6,1
JOAN LAPIERRE,7,1,6
GELDER GINGRAS & ASSOCIATES,7,5,2
CHRISTINE MOISAN COMMUNICATIONS,7,5,2
INSIGHTS LEARNING AND DEVELOPMENT,7,7,0
STAY TECHNOLOGIES,7,2,5
CBCI TELECOM COM,7,3,4
STARBIRD CONSULTING,7,1,6
SOLOTECH,7,7,0
DENYSE PLANTE,7,2,5
SPEARHEAD MANAGEMENT CANADA,7,4,3
NOVOTEL TORONTO CENTER,7,4,3
