gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
AFN ENGINEERING,2010,15,12,3
AFN ENGINEERING,2011,13,11,2
AFN ENGINEERING,2012,17,14,3
AFN ENGINEERING,2013,17,13,4
AFN ENGINEERING,2014,27,23,4
AFN ENGINEERING,2015,28,21,7
AFN ENGINEERING,2016,70,57,13
AFN ENGINEERING,2017,86,59,27
ALTIS HUMAN RESOURCES,2010,29,21,8
ALTIS HUMAN RESOURCES,2011,24,13,11
ALTIS HUMAN RESOURCES,2012,41,23,18
ALTIS HUMAN RESOURCES,2013,29,21,8
ALTIS HUMAN RESOURCES,2014,44,25,19
ALTIS HUMAN RESOURCES,2015,40,20,20
ALTIS HUMAN RESOURCES,2016,42,23,19
ALTIS HUMAN RESOURCES,2017,29,21,8
CANADIAN CORPS OF COMMISSIONAIRES,2010,46,26,20
CANADIAN CORPS OF COMMISSIONAIRES,2011,33,22,11
CANADIAN CORPS OF COMMISSIONAIRES,2012,21,18,3
CANADIAN CORPS OF COMMISSIONAIRES,2013,42,34,8
CANADIAN CORPS OF COMMISSIONAIRES,2014,40,30,10
CANADIAN CORPS OF COMMISSIONAIRES,2015,29,17,12
CANADIAN CORPS OF COMMISSIONAIRES,2016,51,32,19
CANADIAN CORPS OF COMMISSIONAIRES,2017,43,30,13
CHEVRON,2010,73,70,3
CHEVRON,2011,80,78,2
CHEVRON,2012,69,67,2
CHEVRON,2013,75,74,1
CHEVRON,2014,86,86,0
CHEVRON,2015,54,54,0
CHEVRON,2016,80,80,0
CHEVRON,2017,32,32,0
GARLOCK OF CANADA OPERATING AS FAIRBANKS MORSE ENGINE,2013,8,8,0
GARLOCK OF CANADA OPERATING AS FAIRBANKS MORSE ENGINE,2014,51,38,13
GARLOCK OF CANADA OPERATING AS FAIRBANKS MORSE ENGINE,2015,41,33,8
GARLOCK OF CANADA OPERATING AS FAIRBANKS MORSE ENGINE,2016,111,91,20
GARLOCK OF CANADA OPERATING AS FAIRBANKS MORSE ENGINE,2017,85,71,14
IRVING OIL,2010,90,87,3
IRVING OIL,2011,118,114,4
IRVING OIL,2012,128,120,8
IRVING OIL,2013,140,136,4
IRVING OIL,2014,79,77,2
IRVING OIL,2015,67,67,0
IRVING OIL,2016,147,144,3
IRVING OIL,2017,174,173,1
STERLING FUELS,2010,16,14,2
STERLING FUELS,2011,13,12,1
STERLING FUELS,2012,19,19,0
STERLING FUELS,2013,38,34,4
STERLING FUELS,2014,60,58,2
STERLING FUELS,2015,56,51,5
STERLING FUELS,2016,53,53,0
STERLING FUELS,2017,67,66,1
TOROMONT INDUSTRIES,2010,23,19,4
TOROMONT INDUSTRIES,2011,31,19,12
TOROMONT INDUSTRIES,2012,52,36,16
TOROMONT INDUSTRIES,2013,43,31,12
TOROMONT INDUSTRIES,2014,24,19,5
TOROMONT INDUSTRIES,2015,25,23,2
TOROMONT INDUSTRIES,2016,34,29,5
TOROMONT INDUSTRIES,2017,34,26,8
WAJAX POWER SYSTEMS,2011,3,2,1
WAJAX POWER SYSTEMS,2012,19,14,5
WAJAX POWER SYSTEMS,2013,31,18,13
WAJAX POWER SYSTEMS,2014,43,30,13
WAJAX POWER SYSTEMS,2015,29,23,6
WAJAX POWER SYSTEMS,2016,68,58,10
WAJAX POWER SYSTEMS,2017,79,69,10
WARTSILA,2010,62,45,17
WARTSILA,2011,86,63,23
WARTSILA,2012,95,65,30
WARTSILA,2013,83,50,33
WARTSILA,2014,99,82,17
WARTSILA,2015,62,48,14
WARTSILA,2016,130,103,27
WARTSILA,2017,80,74,6
