gen_vendor_normalized,total_entries,total_contracts,total_amendments
PANALPINA,323,253,70
EXCEL HUMAN RESOURCES,320,216,104
BELL CANADA,306,288,18
ALTIS HUMAN RESOURCES,261,195,66
PRINTERS PLUS,229,222,7
SDV LOGISTICS CANADA,200,194,6
OTTAWA BUSINESS INTERIORS OBI,157,143,14
HONEYWELL,150,133,17
AGILYSYS,140,139,1
MESSA COMPUTING,140,73,67
ADIRONDACK TECHNOLOGIES,137,135,2
G4S SECURITY SERVICES,135,67,68
DINE ART FURNITURE,125,98,27
BOYD MOVING STORAGE,123,107,16
SI SYSTEMS,123,80,43
WELCH,120,86,34
APEX INDUSTRIES,120,117,3
SONA DISTRIBUTORS,118,117,1
CANADIAN CORPS OF COMMISSIONAIRES,117,94,23
ONX ENTERPRISE SOLUTIONS,116,97,19
SOFTCHOICE,113,108,5
MAPLESOFT CONSULTING,111,74,37
IDN,105,104,1
THE AIM GROUP,101,80,21
ADVANCED BUSINESS INTERIORS,100,100,0
VERITAAQ TECHNOLOGY HOUSE,94,51,43
INTERACTIVE AUDIO VISUAL,94,89,5
AON REED STENHOUSE,88,81,7
BOGDON GROSS FURNITURE COMPANY,84,77,7
TEKNION,84,84,0
RANDSTAD,83,49,34
RICOH,81,51,30
PRICEWATERHOUSE COOPERS,81,65,16
DURHAM FURNITURE,78,70,8
IBM CANADA,77,67,10
BOLLORE LOGISTICS,76,72,4
KNOWLEDGE CIRCLE,75,69,6
SAMSON ASSOCIATES,74,55,19
MAXSYS,72,66,6
KRUG FURNITURE,69,68,1
PROLOGIC SYSTEMS,69,56,13
CORADIX TECHNOLOGY CONSULTING,68,41,27
FINK BRASILIA LTDA,68,66,2
JL RICHARDS ASSOCIATES,67,60,7
CALIAN,67,37,30
SMITHS DETECTION MONTREAL,66,42,24
CGI,64,45,19
TAB PRODUCTS OF CANADA,64,64,0
MINDWIRE SYSTEMS,63,32,31
PROMAXIS,63,40,23
NIENKAMPER ICF,62,62,0
SNC LAVALIN,62,59,3
DELOITTE AND TOUCHE,59,54,5
TIREE,59,43,16
GRAND TOY,59,53,6
CAPITAL OFFICE INTERIORS,58,56,2
ASOKAN BUSINESS INTERIORS,58,58,0
175213 CANADA SAMSON,57,48,9
QMR,56,44,12
TOYOTA CANADA,54,51,3
CONTRACT FURNITURE SOURCE,54,54,0
GLOBAL UPHOLSTERY,53,53,0
BDO CANADA,53,42,11
EXEL GLOBAL LOGISTICS CANADA,53,21,32
ITEX,50,46,4
BARBARA PERSONNEL,50,38,12
PATHFINDERS SYSTEMS DESIGN,48,48,0
PAYSTATION,48,34,14
ADVANCED CHIPPEWA TECHNOLOGIES,48,40,8
PHASELOCK SYSTEMS INTL,48,46,2
RAYMOND CHABOT GRANT THORNTON,47,41,6
MICROSOFT CANADA,47,44,3
VISIONTEC 2008,47,35,12
EMCON EMANATION CONTROL,46,41,5
EMERION,46,25,21
BURTONS LIMOUSINE SERVICE,46,45,1
COMPUTER MEDIA GROUP,44,43,1
OFFICE SPECIALTY,44,44,0
ANIXTER CANADA,43,41,2
CANON,42,32,10
DHL GLOBAL FORWARDINGS,42,35,7
KEILHAUER INDUSTRIES,42,42,0
TAG HR IT THE ASSOCIATES GROUP,42,31,11
ISE,42,41,1
MCGREGOR FURNITURE COMPANY,42,39,3
SAMSON ASSOCIES ASSOCIATES,42,31,11
COLLINS BARROW,41,36,5
CARILLION AMBS,41,38,3
NISHA TECHONOLOGIES,41,40,1
WEST FURNITURE,40,36,4
ON POWER SYSTEMS,40,26,14
ORACLE CANADA,40,28,12
ST JOSEPH PRINT GROUP,40,39,1
HIRSCH ELECTRONICS,39,39,0
THE PEOPLE BANK,39,39,0
MOTOROLA SOLUTIONS CANADA,38,38,0
MCSS INTERNATIONAL,38,36,2
ALLIANCE PERSONNEL,38,34,4
ERNST YOUNG,38,33,5
IT NET CONSULTANTS,37,28,9
