gen_vendor_normalized,total_entries,total_contracts,total_amendments
EXCEL HUMAN RESOURCES,395,226,169
MINDWIRE SYSTEMS,302,154,148
CANADIAN CORPS OF COMMISSIONAIRES,274,254,20
CGI,190,104,86
MAPLESOFT CONSULTING,175,106,69
DALIAN ENTERPRISES,172,108,64
VERITAAQ TECHNOLOGY HOUSE,165,111,54
CORADIX TECHNOLOGY CONSULTING,160,93,67
RANDSTAD,144,98,46
XEROX,130,109,21
FUJITSU,127,52,75
ORACLE CANADA,102,84,18
CALIAN,91,72,19
ADVANCED BUSINESS INTERIORS,71,70,1
ALTIS HUMAN RESOURCES,70,51,19
MODIS CANADA,58,36,22
NISHA TECHONOLOGIES,57,55,2
TRM TECHNOLOGIES,53,40,13
CANADIAN BANK NOTE COMPANY,51,18,33
TEKNION,50,50,0
PITNEY BOWES,46,38,8
RICOH,45,31,14
SYSTEMATIX SOLUTIONS,45,31,14
GARTNER,44,44,0
COSSETTE COMMUNICATIONS,43,38,5
SOFTCHOICE,40,38,2
ADRM TECHNOLOGY CONSULTING,40,18,22
SI SYSTEMS,39,24,15
KNOWLEDGE CIRCLE,39,35,4
IBM CANADA,38,27,11
MICROSOFT CANADA,37,34,3
HAWORTH,37,36,1
FSC,36,35,1
BRINKS CANADA,35,34,1
TELUS CANADA,35,30,5
PRINTERS PLUS,29,26,3
HEWLETT PACKARD,29,23,6
ECOLE DE LANGUES ABCE,28,25,3
BROOKFIELD ASSET MANAGEMENT,27,26,1
BDO CANADA,27,21,6
THE AIM GROUP,27,18,9
ADVANCED CHIPPEWA TECHNOLOGIES,25,19,6
NORTHERN MICRO,25,25,0
STEELCASE CANADA,25,25,0
DARE HR,25,19,6
SAS INSTITUTE,24,23,1
CANON,24,21,3
ARTEMP PERSONNEL SERVICES,24,16,8
AFSC,22,21,1
TERAMACH TECHNOLOGIES,22,18,4
CDW CANADA,21,17,4
BELL CANADA,20,7,13
LAURIER COMPUTERS,20,20,0
SAS INSTITUTECANADAINC,19,19,0
THE HALIFAX GROUP,19,11,8
CLIC HULL 326 1620 CAN,19,16,3
GILMORE PRINTING SERVICES,19,18,1
CISION CANADA,18,7,11
ERNST YOUNG,18,15,3
TURTLE TECHNOLOGIES,17,6,11
IBISKA TELECOM,17,13,4
SAP,17,12,5
P R SERVICES,17,17,0
DATA REPRO COM,16,7,9
SHRED IT,16,10,6
LOWE MARTIN COMPANY,16,16,0
CBCI TELECOM,16,15,1
RAYMOND CHABOT GRANT THORNTON,16,11,5
IT NET CONSULTANTS,16,11,5
MOBILSHRED RECALL,15,12,3
ACCENTURE,15,6,9
ADIRONDACK TECHNOLOGIES,15,15,0
ISE,15,15,0
OPENTEXT,15,11,4
GRAYBRIDGE INTERNATIONAL CONSULTING,14,8,6
COMPUTER MEDIA GROUP,14,12,2
GLOBAL UPHOLSTERY,14,14,0
CTI WORKING ENVIRONMENTS,14,14,0
ACME FUTURE SECURITY CONTROLS,14,14,0
MULTILINGUAL COMMUNITY INTERPRETER,13,13,0
CENTRE DE LANGUES INTERNATIONALES,13,12,1
THE DATA GROUP OF COMPANIES,13,10,3
QUINTET CONSULTING,13,13,0
THE RETIREMENT PLANNING INSTITUTE,13,7,6
Q MATIC CANADA,13,11,2
ITEX,13,10,3
AMS IMAGING,13,12,1
NOVELL CANADA,13,13,0
EVISION SOFTSIM TECHNOLOGIES,13,13,0
CACHE COMPUTER CONSULTING,13,9,4
EBSCO CANADA,12,10,2
SOFTWARE HOUSE INTERNATIONAL,12,12,0
CORNERSTONE GROUP OF COMPANIES,12,5,7
CARAHSOFT TECHNOLOGY,12,9,3
PLACE MONTCALM PHASE III,12,12,0
CHASE OFFICE INTERIORS,12,12,0
ACOLE DE LANGUES CREUSOT,12,12,0
EKOS RESEARCH ASSOCIATES,12,9,3
MIREMS,12,5,7
MTS ALLSTREAM,11,7,4
DWP SOLUTIONS,11,4,7
SYBASE CANADA,11,11,0
IRON MOUNTAIN CANADA OPERATIONS,11,11,0
ONX ENTERPRISE SOLUTIONS,11,11,0
STANTEC,10,3,7
DELOITTE AND TOUCHE,10,8,2
SHARP ELECTRONICS,10,8,2
GENESIS INTEGRATION,10,10,0
KONICA MINOLTA BUSINESS SOLUTIONS,10,8,2
CANADIAN CORPS COMMISSIONNAIRES,10,7,3
CONTRACT COMMUNITY,10,5,5
CONEXSYS,10,10,0
CISTEL TECHNOLOGY,10,8,2
PLEIAD CANADA,10,6,4
THE BRITISH COLUMBIA CORPS OF,10,10,0
INTERSOL GROUP,10,9,1
DONNA CONA,9,4,5
STATEL CAPITAL TECHNOLOGY PARTNERS,9,4,5
MEDIA Q,9,9,0
ROBERT HALF CANADA,9,9,0
TIREE,9,3,6
LEARNING TREE INTERNATIONAL,9,7,2
KPMG,9,7,2
QMR,9,7,2
CMG OFFICE INTERIORS,9,7,2
FRANCOTYP POSTALIA CANADA,9,9,0
AMITA,9,2,7
QUICK MESSENGER SERVICE,9,5,4
DYNAMIC PERSONNEL CONSULTANTS,8,6,2
IFATHOM,8,8,0
MULTILINGUAL COMMUNITY INTERPRETER SERVICES,8,5,3
ST JOSEPH PRINT GROUP OTTAWA,8,6,2
HYPERACTIVE PRODUCTIONS,8,8,0
ATALASOFT,8,8,0
ADVANCED PRESENTATION PRODUCTS,8,8,0
GOSS GILROY,8,8,0
ASOKAN SOLUTIONS DE BUREAU,8,8,0
CORPS CANADIEN DE COMMISSIONNAIRES,8,5,3
APPLIED ELECTONICS,8,8,0
PRIVASOFT,8,2,6
THE HERJAVEC GROUP,8,8,0
CNW GROUP,8,8,0
TRICA CXM SOLUTIONS,8,5,3
PATHFINDER SYSTEMS DESIGN TAB,8,8,0
FLASH COURIER SERVICES,8,5,3
ENSEIGNES PATTISON SIGN GROUP,8,8,0
EMERION,8,7,1
EMTEC INFRASTRUCTURE SERVICES CANADA,8,3,5
IPSOS REID,8,8,0
AGILYSYS,7,7,0
2KEYS,7,3,4
HARRIS DECIMA,7,6,1
DELL COMPUTER,7,7,0
SECURIT OTTAWA,7,5,2
H K COMMUNICATIONS,7,5,2
VFS GLOBAL,7,6,1
CSDC SYSTEMS,7,6,1
ASOKAN BUSINESS INTERIORS,7,7,0
KNOWLEDGE CIRCLE LEARNING SERVICES,7,6,1
GLOBAL KNOWLEDGE NETWORK CANADA,7,7,0
ANET SOLUTIONS,7,4,3
PHOENIX STRATEGIC PERSPECTIVES,7,5,2
TAB PRODUCTS OF CANADA,7,5,2
TDV GLOBAL,7,6,1
THE CONFERENCE BOARD OF CANADA,7,5,2
ECOLE DE LANGUES LA CITE,7,7,0
EMBARCADERO TECHNOLOGIES,7,5,2
ST JOSEPH PRINT GROUP,6,6,0
ZERNAM ENTERPRISE,6,6,0
3M CANADA COMPANY,6,3,3
AFFINITY PRODUCTIONS,6,6,0
ACADIA COMMERCIAL INTERIORS,6,4,2
SNC LAVALIN,6,5,1
SPEEDY MESSENGER SERVICE,6,3,3
ROYAL MOVING AND STORAGE,6,3,3
CSI CONSULTING,6,2,4
CYGNOS IT SECURITY,6,3,3
RA MALATEST ASSOCIATES,6,6,0
LANGUAGE RESEARCH DEVELOPMENT GROUP,6,1,5
LANNICK CONTRACT SOLUTIONS,6,6,0
CORPORATE EXECUTIVE BOARD,6,6,0
CANADIAN POLICE KNOWLEDGE NETWORK,6,3,3
LEGER MARKETING,6,5,1
TPG TECHNOLOGY CONSULTANTS,6,5,1
COMMISSIONNAIRES,6,6,0
KING TOURS LIMOUSINE SERVICES,6,5,1
BRYMARK PROMOTIONS,6,5,1
FOUR POINT SOLUTIONS,6,6,0
EXCELLENCE RHR CONSULTATION,6,4,2
EQUIFAX CANADA,6,2,4
NATIONAL PRINTERS,6,5,1
JOHNSONS BUSINESS INTERIORS,6,6,0
AJILON,6,6,0
BERLITZ LANGUAGE CENTRE,5,4,1
IDENTITY SYSTEMS,5,1,4
AGL INVESTIGATION CONSULTING,5,4,1
MORPHO CANADA,5,1,4
AGENCY59,5,3,2
MISHKUMI TECHNOLOGIES,5,5,0
SUSSEX CIRCLE,5,5,0
