gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ADVANCED BUSINESS INTERIORS,2016,6,6,0
ADVANCED BUSINESS INTERIORS,2017,9,9,0
ALTIS HUMAN RESOURCES,2016,7,3,4
ALTIS HUMAN RESOURCES,2017,5,3,2
ASOKAN SOLUTIONS DE BUREAU,2016,5,5,0
ASOKAN SOLUTIONS DE BUREAU,2017,16,16,0
CGI,2016,5,3,2
CGI,2017,3,0,3
CONEXSYS,2016,5,5,0
CONEXSYS,2017,7,6,1
DEMENAGEMENT SLBL MOVING,2016,4,4,0
DEMENAGEMENT SLBL MOVING,2017,6,5,1
EXCEL HUMAN RESOURCES,2016,2,1,1
EXCEL HUMAN RESOURCES,2017,7,4,3
IBISKA TELECOM,2016,4,2,2
IBISKA TELECOM,2017,5,0,5
TELUS CANADA,2016,8,8,0
TELUS CANADA,2017,14,12,2
VERITAAQ TECHNOLOGY HOUSE,2016,12,4,8
VERITAAQ TECHNOLOGY HOUSE,2017,10,3,7
