gen_vendor_normalized,total_entries,total_contracts,total_amendments
VERITAAQ TECHNOLOGY HOUSE,22,7,15
TELUS CANADA,22,20,2
ASOKAN SOLUTIONS DE BUREAU,21,21,0
ADVANCED BUSINESS INTERIORS,15,15,0
CONEXSYS,12,11,1
ALTIS HUMAN RESOURCES,12,6,6
DEMENAGEMENT SLBL MOVING,10,9,1
EXCEL HUMAN RESOURCES,9,5,4
IBISKA TELECOM,9,2,7
TRM TECHNOLOGIES,8,3,5
CANADIAN CORPS OF COMMISSIONAIRES,8,7,1
CGI,8,3,5
SHARP ELECTRONICS,7,6,1
NISHA TECHONOLOGIES,7,7,0
BDO CANADA,7,4,3
TURTLE ISLAND STAFFING,6,4,2
IBM CANADA,6,4,2
ALLIANCE FRANCAISE DE TORONTO,6,3,3
FLEMING COMMUNICATIONS,6,3,3
SOFTCHOICE,6,6,0
HR ASSOCIATES,6,4,2
ITEX,6,6,0
DELOITTE AND TOUCHE,6,4,2
HAY GROUP,6,3,3
EMERION,6,2,4
INTEGRA NETWORKS CORPORATION,5,3,2
JUNO RISK SOLUTIONS,5,3,2
FAIRMONT CHATEAU LAURIER,5,5,0
ABI/ADVANCED BUSINESS INTERIORS,5,5,0
MICROSOFT CANADA,5,4,1
PROSCI CANADA ULC,5,5,0
VANTAGE VENUES,5,5,0
KIFINTI SOLUTIONS,5,2,3
TERAMACH TECHNOLOGIES,5,4,1
SAS INSTITUTE,5,5,0
DAVID ANTHONY PEACH,4,2,2
SHERATON CENTER TORONTO,4,4,0
EVENTS AT ONE KING WEST,4,3,1
RANDSTAD,4,1,3
STONEWORKS TECHNOLOGIES,4,4,0
ASL CONSULTING,4,3,1
BURKE CADER MEDIA STRATEGIES,4,1,3
ERGO-INDUSTRIAL SEATING SYSTEMS,4,4,0
BLOOMBERG FINANCE L P,4,3,1
PSAV,4,4,0
DELL COMPUTER CORPORATION,3,2,1
CORETRACKS,3,3,0
SI SYSTEMS,3,2,1
LEE HECHT HARRISON,3,2,1
MACKINNON-CHARLTON,3,2,1
AV-CANADA,3,2,1
MARBERG,3,2,1
FAST FORWARD FRENCH,3,2,1
LONGO AND ASSOCIATES,3,2,1
UP UNTIL NOW,3,2,1
WINKLEVOSS TECHNOLOGY,3,3,0
TELECOM COMPUTER SERVICES,3,3,0
INTERNATIONAL ASSOCIATION OF INSURANCE SUPERVISORS,3,3,0
6174647 CANADA,3,2,1
INJURY PREVENTION PLUS,3,3,0
EAGLE S FLIGHT,2,2,0
DONNA CONA,2,2,0
BLACKBERRY,2,2,0
BISCARDI CONSULTING,2,1,1
4CAST,2,2,0
S&P GLOBAL MARKET INTELLIGENCE,2,2,0
DAURAY ENTERPRISES ICR,2,2,0
ST ANDREWS CLUB & CONFERENCE,2,2,0
STEPHEN ANDREW WOOD,2,1,1
CSDC SYSTEMS,2,2,0
CORPORATE EXPRESS,2,2,0
INGRID BERGMANN AND ASSOCIATES,2,1,1
QIXAS GROUP,2,1,1
ACHIEVEGLOBAL CANADA,2,1,1
RACHEL BURDICK,2,2,0
SHEPELL FGI,2,1,1
SOCIETE GAMMA,2,1,1
ODGERS BERNDTSON CANADA,2,2,0
BANK FOR INTERNATIONAL SETTLEMENTS,2,2,0
PLAN GROUP,2,2,0
HEAT SOFTWARE USA,2,1,1
HAVER ANALYTICS,2,2,0
ADVANCED CHIPPEWA TECHNOLOGIES,2,1,1
PRICEWATERHOUSE COOPERS,2,2,0
HARRY NIGALIS,2,1,1
CDW CANADA,2,2,0
MORGAN JAMES,2,1,1
HAWORTH,2,2,0
MOODY S ANALYTICS,2,1,1
NAVANTIS,2,1,1
HOTEL PLACE DARMES,2,1,1
GENESIS INTEGRATION,2,2,0
GARTNER,2,2,0
NOVEXCO,2,2,0
FOCUS CONSULTING GROUP,2,1,1
NIMBLE STRATEGIES,2,1,1
FITCH 7CITY LEARNING,2,2,0
IFRS FOUNDATION,2,2,0
CALL CENTER PRODUCTS,2,2,0
LEO-PISCES SERVICES GROUP,2,1,1
