gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
AMEC AMERICAS,2008,21,21,0
AMEC AMERICAS,2009,57,54,3
AMEC AMERICAS,2010,69,66,3
AMEC AMERICAS,2011,51,47,4
AMEC AMERICAS,2012,96,70,26
AMEC AMERICAS,2013,111,86,25
AMEC AMERICAS,2014,74,66,8
CANADIAN CORPS OF COMMISSIONAIRES,2008,100,99,1
CANADIAN CORPS OF COMMISSIONAIRES,2009,108,84,24
CANADIAN CORPS OF COMMISSIONAIRES,2010,107,89,18
CANADIAN CORPS OF COMMISSIONAIRES,2011,99,84,15
CANADIAN CORPS OF COMMISSIONAIRES,2012,141,115,26
CANADIAN CORPS OF COMMISSIONAIRES,2013,159,113,46
CANADIAN CORPS OF COMMISSIONAIRES,2014,164,124,40
CANADIAN CORPS OF COMMISSIONAIRES,2015,144,100,44
CANADIAN CORPS OF COMMISSIONAIRES,2016,153,94,59
CANADIAN CORPS OF COMMISSIONAIRES,2017,150,112,38
DILLON CONSULTING,2008,27,27,0
DILLON CONSULTING,2009,54,53,1
DILLON CONSULTING,2010,91,83,8
DILLON CONSULTING,2011,29,27,2
DILLON CONSULTING,2012,39,29,10
DILLON CONSULTING,2013,33,27,6
DILLON CONSULTING,2014,34,25,9
DILLON CONSULTING,2015,43,34,9
DILLON CONSULTING,2016,45,38,7
DILLON CONSULTING,2017,72,57,15
GOLDER ASSOCIATES,2008,73,71,2
GOLDER ASSOCIATES,2009,92,90,2
GOLDER ASSOCIATES,2010,69,62,7
GOLDER ASSOCIATES,2011,66,59,7
GOLDER ASSOCIATES,2012,54,45,9
GOLDER ASSOCIATES,2013,39,28,11
GOLDER ASSOCIATES,2014,18,13,5
GOLDER ASSOCIATES,2015,25,19,6
GOLDER ASSOCIATES,2016,45,31,14
GOLDER ASSOCIATES,2017,60,38,22
RICOH,2008,28,26,2
RICOH,2009,54,53,1
RICOH,2010,59,47,12
RICOH,2011,98,63,35
RICOH,2012,120,55,65
RICOH,2013,153,50,103
RICOH,2014,145,60,85
RICOH,2015,129,58,71
RICOH,2016,98,49,49
RICOH,2017,73,60,13
SHARP ELECTRONICS,2008,11,11,0
SHARP ELECTRONICS,2009,20,20,0
SHARP ELECTRONICS,2010,38,33,5
SHARP ELECTRONICS,2011,54,40,14
SHARP ELECTRONICS,2012,66,40,26
SHARP ELECTRONICS,2013,52,18,34
SHARP ELECTRONICS,2014,50,28,22
SHARP ELECTRONICS,2015,51,32,19
SHARP ELECTRONICS,2016,56,44,12
SHARP ELECTRONICS,2017,29,25,4
SNC-LAVALIN,2008,56,56,0
SNC-LAVALIN,2009,27,27,0
SNC-LAVALIN,2010,67,62,5
SNC-LAVALIN,2011,94,76,18
SNC-LAVALIN,2012,109,73,36
SNC-LAVALIN,2013,77,58,19
SNC-LAVALIN,2014,61,45,16
SNC-LAVALIN,2015,58,40,18
SNC-LAVALIN,2016,73,52,21
SNC-LAVALIN,2017,84,52,32
STANTEC,2008,67,64,3
STANTEC,2009,211,203,8
STANTEC,2010,266,226,40
STANTEC,2011,179,147,32
STANTEC,2012,195,125,70
STANTEC,2013,171,115,56
STANTEC,2014,203,136,67
STANTEC,2015,193,125,68
STANTEC,2016,234,162,72
STANTEC,2017,229,176,53
TEKNION,2008,31,29,2
TEKNION,2009,44,43,1
TEKNION,2010,42,40,2
TEKNION,2011,75,65,10
TEKNION,2012,54,49,5
TEKNION,2013,101,84,17
TEKNION,2014,60,51,9
TEKNION,2015,39,33,6
TEKNION,2016,95,89,6
TEKNION,2017,111,106,5
WSP,2008,40,26,14
WSP,2009,18,14,4
WSP,2010,3,2,1
WSP,2011,12,10,2
WSP,2012,12,6,6
WSP,2013,43,41,2
WSP,2014,104,82,22
WSP,2015,133,90,43
WSP,2016,166,102,64
WSP,2017,142,88,54
