gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ADGA GROUP,2009,39,29,10
ADGA GROUP,2010,54,22,32
ADGA GROUP,2011,56,18,38
ADGA GROUP,2012,84,31,53
ADGA GROUP,2013,93,46,47
ADGA GROUP,2014,97,32,65
ADGA GROUP,2015,38,10,28
ADGA GROUP,2016,1,0,1
CANADIAN CORPS OF COMMISSIONAIRES,2008,71,62,9
CANADIAN CORPS OF COMMISSIONAIRES,2009,43,43,0
CANADIAN CORPS OF COMMISSIONAIRES,2010,55,41,14
CANADIAN CORPS OF COMMISSIONAIRES,2011,31,30,1
CANADIAN CORPS OF COMMISSIONAIRES,2012,47,41,6
CANADIAN CORPS OF COMMISSIONAIRES,2013,60,51,9
CANADIAN CORPS OF COMMISSIONAIRES,2014,103,97,6
CANADIAN CORPS OF COMMISSIONAIRES,2015,130,114,16
CANADIAN CORPS OF COMMISSIONAIRES,2016,205,155,50
CANADIAN CORPS OF COMMISSIONAIRES,2017,136,103,33
DELL COMPUTER,2008,65,62,3
DELL COMPUTER,2009,33,33,0
DELL COMPUTER,2010,52,51,1
DELL COMPUTER,2011,36,36,0
DELL COMPUTER,2012,10,10,0
DELL COMPUTER,2013,21,21,0
DELL COMPUTER,2014,20,19,1
DELL COMPUTER,2015,26,26,0
DELL COMPUTER,2016,19,19,0
DELL COMPUTER,2017,24,24,0
MEGA TECH,2008,47,37,10
MEGA TECH,2009,41,33,8
MEGA TECH,2010,22,18,4
MEGA TECH,2011,22,18,4
MEGA TECH,2012,12,8,4
MEGA TECH,2013,28,23,5
MEGA TECH,2014,23,20,3
MEGA TECH,2015,50,46,4
MEGA TECH,2016,34,30,4
MEGA TECH,2017,44,36,8
MINDWIRE SYSTEMS,2010,36,18,18
MINDWIRE SYSTEMS,2011,45,9,36
MINDWIRE SYSTEMS,2012,76,40,36
MINDWIRE SYSTEMS,2013,33,9,24
MINDWIRE SYSTEMS,2014,14,4,10
MINDWIRE SYSTEMS,2015,42,17,25
MINDWIRE SYSTEMS,2016,30,3,27
MINDWIRE SYSTEMS,2017,20,1,19
MOTOROLA SOLUTIONS CANADA,2008,101,95,6
MOTOROLA SOLUTIONS CANADA,2009,60,60,0
MOTOROLA SOLUTIONS CANADA,2010,34,33,1
MOTOROLA SOLUTIONS CANADA,2011,37,36,1
MOTOROLA SOLUTIONS CANADA,2012,54,52,2
MOTOROLA SOLUTIONS CANADA,2013,55,55,0
MOTOROLA SOLUTIONS CANADA,2014,54,53,1
MOTOROLA SOLUTIONS CANADA,2015,70,70,0
MOTOROLA SOLUTIONS CANADA,2016,71,70,1
MOTOROLA SOLUTIONS CANADA,2017,92,89,3
NISHA TECHONOLOGIES,2008,89,85,4
NISHA TECHONOLOGIES,2009,45,45,0
NISHA TECHONOLOGIES,2010,54,52,2
NISHA TECHONOLOGIES,2011,30,29,1
NISHA TECHONOLOGIES,2012,20,20,0
NISHA TECHONOLOGIES,2013,33,31,2
NISHA TECHONOLOGIES,2014,30,30,0
NISHA TECHONOLOGIES,2015,27,25,2
NISHA TECHONOLOGIES,2016,56,54,2
NISHA TECHONOLOGIES,2017,37,33,4
PANASONIC,2008,30,29,1
PANASONIC,2009,62,62,0
PANASONIC,2010,40,40,0
PANASONIC,2011,37,37,0
PANASONIC,2012,38,37,1
PANASONIC,2013,52,50,2
PANASONIC,2014,24,24,0
PANASONIC,2015,12,11,1
PANASONIC,2016,26,23,3
PANASONIC,2017,32,30,2
SOFTCHOICE,2008,50,50,0
SOFTCHOICE,2009,73,73,0
SOFTCHOICE,2010,101,100,1
SOFTCHOICE,2011,68,68,0
SOFTCHOICE,2012,16,15,1
SOFTCHOICE,2013,28,28,0
SOFTCHOICE,2014,10,10,0
SOFTCHOICE,2015,8,8,0
SOFTCHOICE,2016,17,16,1
SOFTCHOICE,2017,15,14,1
XEROX,2008,5,5,0
XEROX,2009,4,4,0
XEROX,2010,6,5,1
XEROX,2011,53,50,3
XEROX,2012,38,35,3
XEROX,2013,24,20,4
XEROX,2014,63,47,16
XEROX,2015,72,61,11
XEROX,2016,46,41,5
XEROX,2017,29,26,3
