gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ADVANCED CHIPPEWA TECHNOLOGIES,2012,91,51,40
ADVANCED CHIPPEWA TECHNOLOGIES,2013,79,56,23
ADVANCED CHIPPEWA TECHNOLOGIES,2014,79,61,18
ADVANCED CHIPPEWA TECHNOLOGIES,2015,20,14,6
ADVANCED CHIPPEWA TECHNOLOGIES,2016,26,21,5
ADVANCED CHIPPEWA TECHNOLOGIES,2017,22,19,3
BELL CANADA,2012,124,69,55
BELL CANADA,2013,180,162,18
BELL CANADA,2014,114,88,26
BELL CANADA,2015,51,35,16
BELL CANADA,2016,112,72,40
BELL CANADA,2017,158,86,72
CBCI TELECOM,2012,62,32,30
CBCI TELECOM,2013,90,86,4
CBCI TELECOM,2014,52,47,5
CBCI TELECOM,2015,13,11,2
CBCI TELECOM,2016,20,20,0
CBCI TELECOM,2017,42,40,2
COMPUCOM CANADA,2012,148,84,64
COMPUCOM CANADA,2013,92,63,29
COMPUCOM CANADA,2014,39,34,5
COMPUCOM CANADA,2015,19,16,3
COMPUCOM CANADA,2016,29,27,2
COMPUCOM CANADA,2017,34,32,2
IBM CANADA,2011,1,1,0
IBM CANADA,2012,68,36,32
IBM CANADA,2013,72,61,11
IBM CANADA,2014,38,14,24
IBM CANADA,2015,21,12,9
IBM CANADA,2016,67,48,19
IBM CANADA,2017,74,53,21
ITEX,2012,81,47,34
ITEX,2013,34,29,5
ITEX,2014,31,29,2
ITEX,2015,3,3,0
ITEX,2016,52,49,3
ITEX,2017,76,72,4
MAPLESOFT CONSULTING,2012,68,38,30
MAPLESOFT CONSULTING,2013,26,23,3
MAPLESOFT CONSULTING,2014,12,9,3
MAPLESOFT CONSULTING,2015,35,20,15
MAPLESOFT CONSULTING,2016,106,31,75
MAPLESOFT CONSULTING,2017,81,13,68
NORTHERN MICRO,2012,76,42,34
NORTHERN MICRO,2013,48,42,6
NORTHERN MICRO,2014,40,36,4
NORTHERN MICRO,2015,11,10,1
NORTHERN MICRO,2016,74,73,1
NORTHERN MICRO,2017,101,98,3
TELUS CANADA,2011,2,2,0
TELUS CANADA,2012,155,83,72
TELUS CANADA,2013,151,132,19
TELUS CANADA,2014,59,41,18
TELUS CANADA,2015,22,12,10
TELUS CANADA,2016,61,53,8
TELUS CANADA,2017,93,69,24
TERAMACH TECHNOLOGIES,2012,155,84,71
TERAMACH TECHNOLOGIES,2013,130,113,17
TERAMACH TECHNOLOGIES,2014,84,77,7
TERAMACH TECHNOLOGIES,2015,15,14,1
TERAMACH TECHNOLOGIES,2016,105,99,6
TERAMACH TECHNOLOGIES,2017,125,118,7
