gen_vendor_normalized,total_entries,total_contracts,total_amendments
BOMBARDIER,246,245,1
PMG TECHNOLOGIES,233,171,62
XEROX,202,179,23
BELL TEXTRON HELICOPTER,158,155,3
ALTIS HUMAN RESOURCES,108,89,19
AERO SUPPLIES,107,107,0
FLIGHT SAFETY INTERNATIONAL,93,93,0
EXCEL HUMAN RESOURCES,93,76,17
CANADIAN CORPS OF COMMISSIONAIRES,86,77,9
NORTHERN MICRO,75,75,0
HONEYWELL,72,71,1
STANDARD AERO,67,64,3
EUROCOPTER CANADA,62,61,1
VECTOR AEROSPACE,59,58,1
QMR,57,39,18
IRVING OIL,52,48,4
IMPERIAL OIL,52,43,9
QUANTUM MANAGEMENT SERVICES,49,44,5
CESSNA AIRCRAFT COMPANY,46,46,0
FORD MOTOR COMPAMY,44,44,0
SNC LAVALIN,44,40,4
RICOH,44,38,6
TPG TECHNOLOGY CONSULTANTS,40,27,13
NISHA TECHONOLOGIES,39,39,0
KONICA MINOLTA BUSINESS SOLUTIONS CANADA,38,30,8
ACT,37,36,1
HYPERTEC,36,36,0
ROCKWELL COLLINS,35,35,0
NISSAN CANADA,35,35,0
CPCS TRANSCOM,35,33,2
SOFTCHOICE,34,34,0
AIRBUS HELICOPTERS CANADA,34,34,0
SURGENOR PONTIAC BUICK,34,34,0
SURGENOR CHEVROLET BUICK GMC CADILLAC,34,34,0
PETROVALUE PRODUCTS,32,27,5
HOPE AERO PROPELLER COMPONENTS,32,31,1
STONEWORKS TECHNOLOGIES,32,32,0
CHRYSLER CANADA,32,30,2
SI SYSTEMS,31,14,17
DELL COMPUTER,31,31,0
AVIATION REFUELING SERVICES DIVISION OF VALLEY OIL,31,31,0
STANTEC,29,25,4
EQUASION BUSINESS TECHNOLOGIES,29,15,14
MINDWIRE SYSTEMS,28,16,12
TEKSYSTEMS CANADA,28,15,13
GRAND TOY,27,27,0
VILLA TOYOTA,27,27,0
IRON MOUNTAIN,27,22,5
TELUS CANADA,27,25,2
NATTIQ,26,18,8
MONT BLEU FORD,26,26,0
LNT SOLUTIONS,26,26,0
MANPOWER SERVICES CANADA,26,12,14
METRO CHRYSLER DODGE JEEP,26,26,0
L3 COMMUNICATIONS,25,24,1
PITNEY BOWES,25,22,3
CORADIX TECHNOLOGY CONSULTING,24,16,8
DLS TECHNOLOGY,24,19,5
AVIALL CANADA,24,24,0
AVJET HOLDING PETRO T,24,23,1
TOYOTA CANADA,23,22,1
SYSTEMATIX SOLUTIONS,23,14,9
DART AEROSPACE,23,23,0
AON REED STENHOUSE,23,18,5
GENERAL MOTORS,22,22,0
HELITRADES,22,22,0
UNITED ROTARY BRUSH OF CANADA,22,21,1
TRM TECHNOLOGIES,22,18,4
BIO STATIC SYSTEMS,21,15,6
KOLLBEC GATINEAU CHRYSLER JEEP,21,21,0
FLIGHTSAFETY INTERNATIONAL,21,19,2
ORACLE CANADA,21,18,3
CAE,20,18,2
ADVANCED BUSINESS INTERIORS,19,19,0
BERLITZ LANGUAGE CENTRES OF CANADA,19,17,2
DONNELLY FORD LINCOLN,19,19,0
TELECOM COMPUTER SERVICES,19,19,0
EMERION,19,10,9
MAPLESOFT CONSULTING,19,11,8
LALLIER AUTOMOBILE HULL,19,19,0
CDW CANADA,19,19,0
CORPS CANADIEN DES,19,15,4
KNOWLEDGE CIRCLE,19,15,4
TRADUCTIONS HOULE,19,9,10
NOVA NETWORKS,18,18,0
NAV CANADA,18,18,0
HUNT CLUB HONDA,18,18,0
COMPUGEN,18,18,0
TURTLE TECHNOLOGIES,18,13,5
CENTRE DE LANGUES INTERNATIONALES CHARPENTIER,18,15,3
WESCAM,17,17,0
CONFERENCE BOARD OF CANADA,17,17,0
MESSIER DOWTY,17,17,0
417 INFINITI NISSAN,17,17,0
IBISKA TELECOM,17,13,4
DYNAMIC PERSONNEL CONSULTANTS,17,13,4
KPMG,17,15,2
FLIGHT SAFETY CANADA,17,17,0
SYSTEMSCOPE,17,12,5
ALPINE AEROTECH,17,17,0
ADVANCED CHIPPEWA TECHNOLOGIES,17,15,2
KIA 417,17,17,0
DILLON CONSULTING,16,14,2
ISLAND KEY COMPUTER,16,16,0
CC VISUAL COMMUNICATIONS,16,15,1
GROUPE CONSEIL ENTRACO,16,15,1
CLARIANT CANADA,16,14,2
PRICEWATERHOUSE COOPERS,16,13,3
AVIATION DATA SYSTEMS,16,16,0
BEL AIR LEXUS TOYOTA,16,16,0
ADRM TECHNOLOGY CONSULTING,15,6,9
JIM KEAY LINCOLN MERCURY SALES,15,15,0
EQUINOX LANGUAGE CENTRE,15,14,1
CALGARY GOOSENECK SERVICE,15,15,0
MICROSOFT CANADA,15,12,3
GARTNER,15,14,1
MAXSYS STAFFING CONSULTING,15,13,2
CIMA,15,15,0
PEERLESS GARMENTS,15,14,1
HUNT CLUB VOLKSWAGEN,15,15,0
OGILVIE MOTORS,14,14,0
ESRI,14,14,0
THE AIM GROUP,14,9,5
MYERS CHEV OLDS CADILLAC,14,14,0
SAP,14,13,1
TIREE,14,12,2
COPEM CONSULTING,14,14,0
RALLYE MITSUBISHI,14,14,0
VERITAAQ TECHNOLOGY HOUSE,14,7,7
UNIVERSITE DE MONTREAL,14,14,0
WSP,14,14,0
AECOM,14,14,0
TRIWARE TECHNOLOGIES,14,14,0
NORTRAX CANADA,13,12,1
SNAP ON TOOLS CANADA,13,13,0
GOLDER ASSOCIATES,13,11,2
THE CONFERENCE BOARD OF CANADA,13,13,0
THE ACCESS INFORMATION AGENCY,13,7,6
THE ASSOCIATES GROUP OF COMPANIES,13,12,1
CORPS CANADIEN DES COMMISSIONNAIRES DIVISION DU QUEBEC,13,13,0
SAS INSTITUTE,13,13,0
SAMSON ASSOCIATES,13,10,3
APS AVIATION,13,3,10
TEKNION,13,13,0
PROFESSIONAL AVIATION ASSOCIATES,13,13,0
AEROPOL AVIATION SERVICES CORPORAT,13,13,0
PRATT WHITNEY CANADA,13,12,1
ANDIAN TECHNOLOGIES,13,12,1
HELIX MANAGEMENT CONSULTING,13,6,7
ARTEMP PERSONNEL SERVICES,13,8,5
NOVA VISUAL PRODUCTS,12,12,0
HEDDLE MARINE SERVICES,12,4,8
SIMEX DEFENCE,12,12,0
THE MASHA KRUPP TRANSLATION GROUP,12,11,1
DELOITTE AND TOUCHE,12,7,5
MORPHO CANADA,12,12,0
TRADEWIND SCIENTIFIC,12,12,0
ELITE MAZDA,12,12,0
IATA,12,10,2
FOXWISE TECHNOLOGIES,12,12,0
BELL CANADA,12,10,2
MISHKUMI TECHNOLOGIES,12,11,1
WORKDYNAMICS TECHNOLOGIES,12,12,0
LAURENTIAN TECHNOLOGIES,12,12,0
K K ELECTRIC,12,9,3
FIELD AVIATION EAST,12,12,0
CBCI TELECOM,11,11,0
ITEX,11,11,0
WARRENS JANITORIAL SERVICE,11,7,4
MED EXPRESS,11,4,7
TALENTCOR,11,4,7
APRON FUEL SERVICES,11,10,1
PROMAXIS,11,9,2
UNIVERSITY OF WATERLOO,11,9,2
BELISLE AUTOMOBILES,11,11,0
3 POINTS AVIATION,11,11,0
ORBIS RISK CONSULTING,11,9,2
LUMINA IT,11,8,3
SAMSON ASSOCIES CPA CONSULTING,11,8,3
HARRINGTON STAFFING SERVICES,10,6,4
JA LARUE,10,7,3
IRON MOUNTAIN CANADA,10,9,1
GROUPE ABS,10,9,1
BRIDGEVIEW MARINE,10,10,0
WASKAGANISH BAND COUNCIL,10,3,7
COREDAL SYSTEMS CONSULTING,10,5,5
ECOLE DE LANGUES CREUSOT,10,6,4
TEAM EAGLE,10,10,0
LANSDOWNE TECHNOLOGIES,10,9,1
DR EDWARD BEKERIS,10,4,6
PHP CANADA,10,9,1
PHASELOCK SYSTEMS INTERNATIONAL,10,10,0
TURTLE ISLAND STAFFING,10,8,2
TURNING STONE MEDICAL TSM,10,3,7
HAWKER BEECHCRAFT,9,9,0
ALION SCIENCE AND TECHNOLOGY CANADA,9,8,1
EYEDU SOLUTIONS,9,9,0
2553 4330 QUEBEC AEROPRO,9,2,7
BYTEK AUTOMOBILES,9,9,0
OPSIS GESTION DINFRASTRUCTURE,9,2,7
