gen_vendor_normalized,total_entries,total_contracts,total_amendments
SERVICES PRN,86,52,34
DR ROBERT OUELLETTE,69,61,8
COSSETTE COMMUNICATIONS,66,54,12
MICHEL WHITE SPRCP,60,38,22
TRANSBUS,56,16,40
CANADIAN CORPS OF COMMISSIONAIRES,55,52,3
ABDALLAH DALLAL DR,50,39,11
MCKESSON CANADA,49,44,5
NISHA TECHONOLOGIES,46,43,3
CARDINAL HEALTH,39,39,0
DR GENEVIEVE RICHER,33,29,4
NORTHERN MICRO,32,30,2
DR FRANCOIS SARRASIN,27,18,9
DR JEAN PARRATTE,25,17,8
CARDINAL HEALTH CANADA,24,24,0
ADIRONDACK TECHNOLOGIES,23,22,1
METAFORE,23,23,0
BELL CANADA,21,20,1
IBM CANADA,20,18,2
DR ROGER VADEBONCOEUR,19,7,12
IMP GROUP,19,19,0
CDW CANADA,18,16,2
GRAND AND TOY,18,14,4
MULTI OPTIONS NURSING,16,14,2
MARIE JOSEE DROUIN,14,11,3
XEROX,14,8,6
CAPITAL THERAPY SERVICES,14,10,4
VICTORIA POINT REHAB,14,6,8
IMPERIAL OIL,14,10,4
MICROAGE,14,14,0
AUDREY DEVLIN,13,5,8
DR DENIS DURANLEAU,13,7,6
UNIVERSITE SAINTE ANNE,13,9,4
MARIE FRANCE LALIBERTE,13,13,0
QMR,12,10,2
TRIMTAG TRADING,12,10,2
TARGET COMMUNICATIONS,12,6,6
THE ROYAL CANADIAN LEGION,12,10,2
HDP GROUP,11,9,2
MARIE CHANTAL PICHE PHDMD,11,6,5
SOCIETE MEDICAL DR LIONEL,11,9,2
ORACLE CANADA,11,11,0
DR JACQUES BOURGIE,10,10,0
HARRINGTON MARKETING,10,4,6
UNITES MOBILES DE COIFFURE,10,7,3
TERAMACH TECHNOLOGIES,10,10,0
I4C INFORMATION TECHNOLOGY,9,5,4
DENISE CHEVREFILS,9,9,0
EBSCO CANADA,9,9,0
MEDIA Q,9,7,2
ALTERNACARE,9,8,1
SERENA SOFTWARE,8,8,0
HARRINGTON STAFFING SERVICES,8,4,4
DIANE DURAND,8,7,1
NEURON COMMUNICATIONS,8,8,0
DR MARCEL LORTIE,7,7,0
BAYSHORE HEALTHCARE,7,4,3
BASELINE BUSINESS GEOGRAPHICS,7,7,0
RICOH,7,7,0
HYPERTEC,7,6,1
LES ENTREPRISES VERRECCHIA,7,7,0
DELCO AUTOMATION,7,7,0
WORKDYNAMICS TECHNOLOGIES,7,7,0
ORTHO CLINICAL DIAGNOSTICS,7,7,0
GARTNER,7,7,0
FREEBALANCE,7,6,1
GRAND TOY,7,7,0
ERGOWORKS ATLANTIC,7,7,0
KABOOM,7,7,0
CNW GROUP,7,7,0
CGI,7,1,6
CHRISTIE INNOMED,7,7,0
PHOENIX STRATEGIC PERSPECTIVES,7,6,1
SIERRA SYSTEMS GROUP,7,7,0
SOLUTIONS STAFFING,7,2,5
ROYAL CANADIAN MINT,6,5,1
DR HANY DAOUD,6,5,1
AVI SPL CANADA,6,5,1
ADECCO EMPLOYMENT SERVICES,6,5,1
IFATHOM,6,6,0
DR ABDALLAH DALLAL,6,5,1
DELL COMPUTER,6,6,0
CANADIAN PRESS ENTERPRISES,6,5,1
TPG TECHNOLOGY CONSULTANTS,6,1,5
ANNIE THEORET,6,5,1
SUPERTEMP,6,6,0
KPMG,6,2,4
IRON MOUNTAIN CANADA CORPO,6,4,2
EKOS RESEARCH ASSOICATES,6,6,0
CENTRE HOSPITALIER DE LUNIVERS,6,6,0
TOTAL ABILITY,6,2,4
SERVICE PRN,5,5,0
RENU TYAGI,5,1,4
ALLERGAN,5,5,0
MD GAGNON MEDICINE PROF,5,2,3
HARRIS DECIMA,5,3,2
LOGIBEC,5,4,1
ARJOHUNTLEIGH CANADA,5,5,0
DENSAN CONSULTANTS,5,5,0
ORTHOFAB,5,5,0
