gen_vendor_normalized,total_entries,total_contracts,total_amendments
CANADIAN CORPS OF COMMISSIONAIRES,7947,6636,1311
EXCEL HUMAN RESOURCES,5504,3932,1572
IMPERIAL OIL,5204,4957,247
XEROX,4191,3300,891
CANADIAN HEALTH CARE AGENCY,3696,1347,2349
STANTEC,3667,2919,748
ALTIS HUMAN RESOURCES,3401,2477,924
CALIAN,3134,2273,861
BELL CANADA,3070,2522,548
NORTHERN MICRO,2927,2803,124
MCKESSON CANADA,2814,2776,38
SIMEX DEFENCE,2735,2698,37
RICOH,2689,1918,771
NISHA TECHONOLOGIES,2674,2512,162
FORD MOTOR COMPAMY,2558,2478,80
IBM CANADA,2538,1822,716
VERITAAQ TECHNOLOGY HOUSE,2489,1316,1173
CANON,2430,1954,476
TELUS CANADA,2153,1908,245
CGI,2119,1184,935
SOFTCHOICE,2050,1952,98
TEKNION,1979,1894,85
IRVING OIL,1935,1898,37
BLUEWAVE ENERGY,1918,1839,79
DELL COMPUTER,1906,1835,71
SNC LAVALIN,1856,1509,347
MAPLESOFT CONSULTING,1748,1102,646
FISHER SCIENTIFIC,1724,1683,41
SHELL CANADA PRODUCTS,1658,1487,171
RANDSTAD,1556,907,649
AGILENT,1535,1494,41
GENERAL MOTORS,1531,1497,34
UNISOURCE,1466,1450,16
SHARP ELECTRONICS,1459,1176,283
ITEX,1426,1343,83
SI SYSTEMS,1400,866,534
GLOBAL UPHOLSTERY,1363,1329,34
HEWLETT PACKARD,1361,1170,191
TERAMACH TECHNOLOGIES,1334,1180,154
WSP,1331,982,349
COSSETTE COMMUNICATIONS,1269,1161,108
MINDWIRE SYSTEMS,1228,604,624
ONTARIO DENTAL ASSOCIATION,1190,341,849
MOTOROLA SOLUTIONS CANADA,1181,1140,41
MICROSOFT CANADA,1175,1021,154
CDW CANADA,1144,1070,74
MODIS CANADA,1131,612,519
CANADA POST,1120,1084,36
PRINTERS PLUS,1095,1054,41
QUANTUM MANAGEMENT SERVICES,1082,869,213
PRICEWATERHOUSE COOPERS,1078,762,316
THE AIM GROUP,1078,738,340
COMPUGEN,1070,1036,34
VWR INTERNATIONAL,1061,1037,24
GENERAL DYNAMICS,1054,862,192
HOSKIN SCIENTIFIC,1042,999,43
GOLDER ASSOCIATES,1041,888,153
ORACLE CANADA,1038,929,109
DELOITTE AND TOUCHE,1026,847,179
GARTNER,1021,974,47
CHRYSLER CANADA,1021,993,28
ARTEMP PERSONNEL SERVICES,1013,762,251
ESRI,1012,965,47
TELECOM COMPUTER SERVICES,964,920,44
CHEVRON,957,936,21
KONICA MINOLTA BUSINESS SOLUTIONS,941,640,301
ADVANCED BUSINESS INTERIORS,922,910,12
VALCOM CONSULTING,921,583,338
JHT DEFENSE,915,906,9
GENESIS INTEGRATION,900,864,36
PROMAXIS,899,576,323
ADGA GROUP,896,451,445
QMR,894,681,213
DADS,889,818,71
WARTSILA,863,687,176
MACDONALD DETTWILER AND ASSOCIATES,858,721,137
CORADIX TECHNOLOGY CONSULTING,835,569,266
DONNA CONA,832,571,261
PITNEY BOWES,821,749,72
WORLD FUEL SERVICES,802,775,27
ACKLANDS GRAINGER,800,785,15
PETROVALUE PRODUCTS,788,777,11
HONEYWELL,788,695,93
CBCI TELECOM,775,722,53
SIEMENS,772,659,113
ADVANCED CHIPPEWA TECHNOLOGIES,766,625,141
IBISKA TELECOM,764,542,222
HAWORTH,758,719,39
STEELCASE CANADA,741,720,21
DALIAN ENTERPRISES,736,585,151
AECOM,732,529,203
LIFE TECHNOLOGIES,721,656,65
PANASONIC,693,597,96
ADIRONDACK TECHNOLOGIES FURNITURE,668,638,30
BOMBARDIER,668,634,34
GRAND TOY,650,614,36
KNOWLEDGE CIRCLE,646,513,133
IT NET CONSULTANTS,645,432,213
EMERION,628,372,256
COMPUCOM CANADA,627,509,118
