owner_acronym,total_entries,total_contracts,total_amendments
ssc,317,222,95
dnd,48,44,4
gac,48,40,8
rcmp,37,36,1
tbs,30,22,8
esdc,26,26,0
ircc,25,19,6
ec,24,24,0
cbsa,20,18,2
pspc,17,13,4
tc,17,15,2
dfo,17,14,3
ic,11,11,0
inac,10,10,0
pc,9,9,0
lac,8,8,0
just,8,6,2
cnsc,8,8,0
stats,8,7,1
agr,7,4,3
pco,6,6,0
cfia,6,6,0
fin,5,5,0
pch,5,5,0
cra,4,4,0
cihr,4,3,1
nrcan,4,4,0
elections,4,4,0
csc,4,4,0
vac,4,4,0
neb,3,3,0
pptc,3,3,0
osgg,3,3,0
csps,2,2,0
osfi,2,1,1
fcac,2,2,0
cas,2,2,0
infra,1,1,0
pbc,1,1,0
crtc,1,1,0
ps,1,1,0
chrc,1,1,0
sshrc,1,1,0
ced,1,1,0
atssc,1,1,0
