owner_acronym,source_year,total_entries,total_contracts,total_amendments
csc,2017,1,1,0
dfo,2016,1,1,0
dfo,2017,2,2,0
dnd,2009,11,8,3
dnd,2010,10,5,5
dnd,2011,7,4,3
dnd,2012,5,5,0
dnd,2013,11,11,0
dnd,2014,3,3,0
dnd,2015,7,6,1
dnd,2016,3,2,1
dnd,2017,5,5,0
ec,2008,3,3,0
ec,2009,2,2,0
ec,2010,3,1,2
ec,2012,3,1,2
ec,2013,3,1,2
ec,2014,11,8,3
ec,2015,1,1,0
ec,2016,5,5,0
ec,2017,3,3,0
gac,2016,1,1,0
nrc,2009,18,17,1
nrc,2010,19,13,6
nrc,2011,16,6,10
nrc,2012,17,2,15
nrc,2013,21,5,16
nrc,2014,23,7,16
nrc,2015,25,5,20
nrc,2016,22,13,9
nrc,2017,28,22,6
nrcan,2011,2,2,0
nrcan,2012,15,15,0
nrcan,2013,23,20,3
nrcan,2014,14,12,2
nrcan,2015,28,25,3
nrcan,2016,22,19,3
nrcan,2017,28,24,4
pc,2008,1,1,0
pc,2009,1,1,0
pc,2012,1,0,1
pc,2013,1,1,0
pc,2015,1,1,0
pc,2016,3,3,0
pc,2017,1,1,0
pch,2014,1,1,0
pch,2015,2,2,0
pch,2016,1,1,0
pspc,2008,1,1,0
pspc,2013,3,3,0
pspc,2014,2,1,1
pspc,2015,3,2,1
pspc,2017,1,1,0
rcmp,2009,1,1,0
rcmp,2010,1,1,0
rcmp,2011,1,1,0
rcmp,2013,3,3,0
rcmp,2014,3,3,0
rcmp,2015,9,5,4
rcmp,2016,6,2,4
rcmp,2017,5,2,3
