owner_acronym,source_year,total_entries,total_contracts,total_amendments
acoa,2008,1,1,0
acoa,2009,1,1,0
acoa,2016,1,1,0
agr,2013,1,1,0
agr,2014,3,2,1
agr,2015,3,1,2
agr,2016,2,2,0
agr,2017,4,2,2
cbsa,2015,2,1,1
cbsa,2016,1,1,0
cbsa,2017,3,2,1
cc,2012,1,1,0
ceaa,2008,1,1,0
ced,2009,1,1,0
ced,2010,8,7,1
ced,2011,10,9,1
ced,2012,2,2,0
cfia,2012,5,4,1
chrc,2015,1,1,0
cihr,2016,1,1,0
cnsc,2008,4,4,0
cnsc,2009,3,3,0
cnsc,2010,1,1,0
cnsc,2011,1,1,0
cnsc,2012,1,1,0
cnsc,2013,1,1,0
cnsc,2014,2,2,0
cnsc,2016,1,0,1
cra,2008,61,52,9
cra,2009,44,39,5
cra,2010,64,50,14
cra,2011,131,110,21
csa,2011,1,1,0
csa,2017,1,1,0
csc,2016,2,2,0
csc,2017,1,1,0
dfo,2010,39,29,10
dfo,2011,17,12,5
dfo,2012,8,7,1
dfo,2013,12,10,2
dfo,2014,5,5,0
dfo,2015,9,6,3
dfo,2016,8,6,2
dfo,2017,16,11,5
dnd,2008,52,49,3
dnd,2009,52,44,8
dnd,2010,53,47,6
dnd,2011,63,59,4
dnd,2012,23,13,10
dnd,2013,28,23,5
dnd,2014,21,19,2
dnd,2015,12,9,3
dnd,2016,5,4,1
dnd,2017,9,9,0
ec,2008,3,3,0
ec,2009,13,13,0
ec,2010,4,3,1
ec,2011,8,8,0
ec,2012,4,3,1
ec,2013,3,0,3
ec,2014,2,0,2
ec,2015,2,1,1
ec,2016,3,1,2
ec,2017,1,0,1
elections,2017,1,1,0
esdc,2008,34,34,0
esdc,2009,79,79,0
esdc,2010,43,43,0
esdc,2011,39,39,0
esdc,2012,3,3,0
esdc,2013,2,2,0
esdc,2014,2,2,0
esdc,2015,2,2,0
esdc,2017,1,1,0
fcac,2017,1,1,0
feddev,2013,1,1,0
feddev,2014,5,3,2
feddev,2015,2,1,1
feddev,2016,3,0,3
feddev,2017,1,0,1
fin,2008,8,8,0
fin,2009,1,1,0
fin,2010,1,1,0
fin,2011,13,13,0
fintrac,2008,1,1,0
fja,2009,2,2,0
fja,2011,3,2,1
fja,2012,1,1,0
fja,2013,1,1,0
fja,2014,1,1,0
fja,2016,1,1,0
fja,2017,1,1,0
gac,2008,44,43,1
gac,2009,68,62,6
gac,2010,95,95,0
gac,2011,80,76,4
gac,2012,5,5,0
gac,2013,4,2,2
gac,2014,2,1,1
gac,2015,1,0,1
gac,2016,2,1,1
gac,2017,5,3,2
hc,2010,5,5,0
hc,2011,4,4,0
hc,2012,2,1,1
hc,2013,1,1,0
hc,2016,2,2,0
ic,2008,4,4,0
ic,2009,8,7,1
ic,2010,4,4,0
ic,2011,10,8,2
ic,2012,7,6,1
ic,2013,4,1,3
ic,2014,6,4,2
ic,2015,4,3,1
ic,2016,4,4,0
ic,2017,1,1,0
infra,2013,1,1,0
infra,2014,1,1,0
infra,2015,1,0,1
ircc,2010,6,3,3
ircc,2011,6,3,3
ircc,2012,5,0,5
ircc,2013,1,0,1
ircc,2014,2,1,1
just,2008,2,2,0
just,2009,1,1,0
just,2011,1,1,0
just,2013,1,1,0
just,2014,3,0,3
just,2016,2,2,0
neb,2017,2,2,0
nfb,2017,2,2,0
nrc,2009,19,17,2
nrc,2010,33,32,1
nrc,2011,18,14,4
nrc,2012,4,3,1
nrc,2013,2,2,0
nrc,2014,2,1,1
nrc,2015,5,1,4
nrc,2016,6,3,3
nrc,2017,9,2,7
nrcan,2011,1,1,0
nrcan,2012,1,1,0
oag,2017,2,2,0
ocl,2017,1,1,0
pbc,2011,1,1,0
pbc,2015,1,1,0
pbc,2016,1,1,0
pbc,2017,1,1,0
pc,2008,3,3,0
pc,2012,2,2,0
pc,2013,2,2,0
pc,2015,1,1,0
pc,2016,2,2,0
pc,2017,2,1,1
pch,2008,3,3,0
pch,2009,2,2,0
pch,2010,1,0,1
pch,2013,1,1,0
pch,2014,5,4,1
pch,2015,4,3,1
pch,2016,6,3,3
pch,2017,5,4,1
pco,2008,4,4,0
pco,2009,5,4,1
pco,2010,8,5,3
pco,2011,9,7,2
pco,2013,1,0,1
pco,2014,3,2,1
pco,2017,1,0,1
phac,2010,5,5,0
phac,2011,4,4,0
phac,2012,2,1,1
phac,2013,1,1,0
phac,2016,1,1,0
ppsc,2012,1,1,0
pptc,2010,6,2,4
pptc,2011,1,0,1
ps,2008,3,3,0
ps,2009,12,12,0
ps,2010,9,9,0
ps,2011,8,8,0
ps,2012,4,4,0
ps,2013,3,3,0
ps,2015,2,2,0
psc,2008,10,4,6
psc,2009,3,3,0
psc,2010,3,3,0
psc,2011,5,5,0
psic,2016,2,2,0
psic,2017,1,1,0
pspc,2008,58,58,0
pspc,2009,25,24,1
pspc,2010,34,29,5
pspc,2011,42,33,9
pspc,2012,5,3,2
pspc,2013,18,10,8
pspc,2014,20,13,7
pspc,2015,6,4,2
pspc,2016,1,1,0
pspc,2017,7,5,2
rcmp,2008,45,44,1
rcmp,2009,43,43,0
rcmp,2010,42,39,3
rcmp,2011,41,35,6
rcmp,2012,9,7,2
rcmp,2013,10,6,4
rcmp,2014,22,19,3
rcmp,2015,11,7,4
rcmp,2016,14,9,5
rcmp,2017,6,5,1
ssc,2012,124,69,55
ssc,2013,180,162,18
ssc,2014,114,88,26
ssc,2015,51,35,16
ssc,2016,112,72,40
ssc,2017,158,86,72
stats,2008,13,12,1
stats,2009,11,11,0
stats,2010,10,10,0
stats,2011,3,3,0
stats,2012,1,0,1
stats,2013,1,1,0
stats,2014,2,1,1
stats,2015,1,1,0
tbs,2008,2,2,0
tbs,2009,13,13,0
tbs,2010,7,5,2
tbs,2011,2,2,0
tbs,2013,1,1,0
tbs,2014,1,0,1
tc,2011,8,7,1
tc,2012,3,2,1
tc,2014,1,1,0
vac,2010,1,1,0
vac,2011,10,9,1
vac,2012,3,3,0
vac,2013,5,5,0
vac,2014,1,1,0
vac,2015,1,1,0
