owner_acronym,total_entries,total_contracts,total_amendments
ssc,739,512,227
dnd,319,260,59
gac,306,288,18
cra,300,251,49
rcmp,243,214,29
pspc,216,180,36
esdc,205,205,0
dfo,115,87,28
nrc,98,75,23
ic,52,42,10
ec,43,32,11
stats,42,39,3
ps,41,41,0
pco,31,22,9
pch,27,20,7
tbs,26,23,3
ircc,25,12,13
hc,23,15,8
fin,23,23,0
phac,22,14,8
ced,21,19,2
vac,21,20,1
psc,21,15,6
cnsc,14,13,1
agr,13,8,5
tc,12,10,2
feddev,12,5,7
pc,12,11,1
just,10,7,3
fja,10,9,1
pptc,7,2,5
cbsa,6,4,2
cfia,5,4,1
pbc,4,4,0
cannor,4,4,0
nrcan,3,3,0
acoa,3,3,0
infra,3,2,1
csa,3,2,1
psic,3,3,0
csc,3,3,0
oag,2,2,0
neb,2,2,0
cc,2,1,1
nfb,2,2,0
csps,1,1,0
fintrac,1,1,0
ceaa,1,1,0
chrc,1,1,0
ocl,1,1,0
fcac,1,1,0
ppsc,1,1,0
cihr,1,1,0
elections,1,1,0
