owner_acronym,source_year,total_entries,total_contracts,total_amendments
cnsc,2008,3,3,0
cnsc,2009,2,2,0
cnsc,2010,1,1,0
cra,2010,2,1,1
dnd,2008,6,4,2
dnd,2009,5,5,0
dnd,2010,3,1,2
ec,2008,9,9,0
ec,2009,8,7,1
ec,2010,7,6,1
ec,2011,2,0,2
esdc,2008,9,9,0
esdc,2009,43,43,0
esdc,2010,1,1,0
fin,2008,1,1,0
fintrac,2008,1,1,0
fintrac,2009,1,1,0
gac,2008,13,12,1
gac,2009,7,5,2
gac,2010,2,1,1
hc,2010,1,1,0
ic,2008,10,10,0
ic,2009,4,4,0
ircc,2010,4,4,0
pch,2008,6,6,0
pco,2009,2,2,0
pco,2010,1,0,1
phac,2010,1,1,0
psc,2008,2,1,1
psc,2009,4,2,2
pspc,2008,130,127,3
pspc,2009,21,18,3
pspc,2010,2,2,0
rcmp,2008,29,23,6
rcmp,2009,26,25,1
rcmp,2010,58,0,58
rcmp,2011,38,0,38
stats,2009,3,3,0
tbs,2008,1,1,0
tbs,2009,2,2,0
tbs,2010,1,0,1
tbs,2011,1,0,1
tc,2011,1,1,0
