owner_acronym,total_entries,total_contracts,total_amendments
esdc,50,46,4
ic,30,18,12
hc,26,21,5
pspc,23,17,6
agr,21,13,8
ec,21,16,5
csc,19,12,7
phac,18,14,4
fin,17,8,9
ssc,17,12,5
gac,14,10,4
cnsc,12,6,6
cbsa,12,9,3
nrc,11,7,4
dfo,11,7,4
ircc,10,8,2
pco,9,6,3
cfia,9,7,2
atssc,8,2,6
ps,8,8,0
rcmp,7,2,5
dnd,7,4,3
nrcan,7,6,1
pptc,7,6,1
tbs,7,5,2
tc,6,6,0
just,5,4,1
stats,4,4,0
cra,3,1,2
crtc,3,3,0
fcac,2,1,1
ceaa,2,1,1
infra,2,2,0
inac,2,2,0
pc,2,2,0
csps,1,1,0
oag,1,1,0
osfi,1,1,0
elections,1,1,0
fintrac,1,1,0
psc,1,1,0
sshrc,1,1,0
