owner_acronym,source_year,total_entries,total_contracts,total_amendments
agr,2013,1,1,0
agr,2015,3,3,0
agr,2016,21,14,7
agr,2017,5,4,1
cbsa,2016,2,2,0
ceaa,2010,3,1,2
cnsc,2008,2,2,0
cnsc,2010,1,1,0
cnsc,2011,1,1,0
cra,2013,1,1,0
csc,2013,5,3,2
dfo,2010,2,2,0
dfo,2011,4,2,2
dfo,2012,4,3,1
dfo,2013,2,1,1
dfo,2014,7,2,5
dfo,2015,1,0,1
dfo,2016,1,0,1
dfo,2017,1,0,1
dnd,2008,4,3,1
dnd,2009,20,18,2
dnd,2010,12,10,2
dnd,2011,20,17,3
dnd,2012,14,7,7
dnd,2013,4,1,3
dnd,2014,7,6,1
dnd,2015,1,1,0
dnd,2016,1,0,1
dnd,2017,1,1,0
ec,2008,4,4,0
ec,2009,1,1,0
ec,2010,5,3,2
ec,2011,2,1,1
elections,2016,7,7,0
elections,2017,12,7,5
esdc,2008,2,2,0
esdc,2009,3,3,0
esdc,2010,1,1,0
esdc,2011,6,6,0
esdc,2012,3,3,0
esdc,2013,3,3,0
esdc,2014,4,4,0
esdc,2015,9,9,0
esdc,2016,3,2,1
esdc,2017,3,2,1
fcac,2012,2,2,0
fin,2008,1,1,0
fja,2010,1,1,0
fja,2012,1,1,0
fja,2013,1,1,0
fja,2014,1,1,0
fja,2015,3,3,0
fja,2016,3,2,1
fja,2017,4,1,3
gac,2008,3,3,0
gac,2009,6,6,0
gac,2010,1,1,0
gac,2011,10,9,1
gac,2012,10,4,6
gac,2013,11,6,5
gac,2014,5,1,4
gac,2015,5,4,1
gac,2016,6,2,4
gac,2017,11,5,6
hc,2011,2,2,0
hc,2012,5,3,2
hc,2013,2,2,0
hc,2014,2,2,0
hc,2015,2,2,0
hc,2016,1,1,0
ic,2008,7,7,0
ic,2009,7,7,0
ic,2010,11,5,6
ic,2011,10,4,6
ic,2012,10,7,3
ic,2013,10,4,6
ic,2014,12,4,8
ic,2015,16,9,7
ic,2016,15,4,11
ic,2017,17,7,10
inac,2013,5,3,2
inac,2014,8,8,0
inac,2015,3,2,1
inac,2016,2,2,0
inac,2017,5,4,1
infra,2012,1,1,0
infra,2015,1,1,0
infra,2016,3,1,2
infra,2017,2,1,1
ircc,2011,3,3,0
ircc,2012,13,10,3
ircc,2013,35,17,18
ircc,2014,25,15,10
ircc,2015,31,16,15
ircc,2016,22,16,6
ircc,2017,31,16,15
isc,2017,1,1,0
just,2008,1,1,0
just,2009,7,2,5
just,2010,2,1,1
just,2011,2,1,1
just,2012,1,0,1
just,2013,1,0,1
lac,2012,1,1,0
lac,2014,1,0,1
mgerc,2016,2,2,0
nrc,2011,1,1,0
nrc,2012,2,1,1
nrc,2017,1,1,0
nrcan,2011,2,2,0
nrcan,2013,1,1,0
nrcan,2014,1,1,0
nserc,2017,1,1,0
oic,2017,1,1,0
pbc,2011,1,1,0
pch,2008,1,1,0
pch,2011,1,1,0
pch,2012,1,0,1
pch,2013,1,0,1
pch,2015,1,1,0
pco,2010,3,3,0
phac,2011,2,2,0
phac,2012,5,3,2
phac,2013,2,2,0
phac,2014,2,2,0
phac,2015,2,2,0
phac,2016,1,1,0
pptc,2011,3,3,0
pptc,2012,1,1,0
ps,2008,2,2,0
ps,2009,4,4,0
ps,2010,2,2,0
ps,2013,1,1,0
psc,2008,2,2,0
psc,2009,1,1,0
psc,2015,1,1,0
pspc,2008,5,5,0
pspc,2009,2,2,0
pspc,2010,5,4,1
pspc,2011,5,2,3
pspc,2012,2,2,0
pspc,2014,1,1,0
pspc,2015,1,1,0
rcmp,2008,5,3,2
rcmp,2012,1,1,0
rcmp,2017,12,8,4
ssc,2012,4,2,2
ssc,2013,2,1,1
ssc,2014,3,1,2
ssc,2015,2,1,1
ssc,2016,2,0,2
ssc,2017,4,3,1
stats,2008,10,10,0
stats,2009,12,12,0
stats,2010,8,8,0
stats,2011,4,4,0
stats,2012,2,2,0
stats,2013,5,5,0
stats,2014,1,1,0
stats,2016,1,1,0
stats,2017,1,1,0
tbs,2009,8,8,0
tbs,2010,4,1,3
tbs,2011,2,1,1
tbs,2012,1,0,1
tbs,2015,1,1,0
tbs,2017,1,1,0
tc,2011,6,6,0
tc,2012,3,2,1
tc,2013,2,1,1
tc,2014,5,3,2
tc,2015,3,1,2
tc,2016,3,1,2
tc,2017,2,2,0
vac,2012,2,1,1
