owner_acronym,total_entries,total_contracts,total_amendments
dnd,198,194,4
pc,150,148,2
cra,112,95,17
pspc,90,84,6
esdc,82,81,1
hc,75,65,10
vac,66,54,12
phac,65,57,8
rcmp,46,42,4
ps,44,42,2
fin,43,35,8
ircc,43,38,5
agr,29,25,4
nrcan,28,25,3
pch,27,22,5
gac,26,18,8
fcac,22,17,5
stats,20,20,0
ic,19,18,1
ec,12,12,0
cfia,12,11,1
nrc,9,9,0
just,7,6,1
dfo,7,7,0
acoa,6,6,0
ced,4,3,1
tc,4,4,0
cta,4,4,0
infra,4,4,0
cbsa,3,3,0
pptc,3,3,0
crtc,2,2,0
ssc,2,2,0
atssc,1,1,0
inac,1,1,0
pco,1,1,0
csa,1,1,0
nfb,1,1,0
