owner_acronym,total_entries,total_contracts,total_amendments
dnd,381,373,8
rcmp,306,301,5
cra,303,295,8
ssc,165,129,36
ec,155,155,0
ic,75,72,3
pspc,73,72,1
pco,71,69,2
nrc,44,43,1
tc,31,31,0
csa,29,29,0
dfo,25,23,2
ps,19,19,0
cnsc,18,18,0
esdc,18,18,0
hc,17,17,0
just,16,16,0
nrcan,16,16,0
phac,13,13,0
gac,12,12,0
pc,8,8,0
cihr,7,7,0
ircc,7,7,0
stats,6,6,0
inac,6,6,0
vac,6,6,0
tbs,5,5,0
csc,5,3,2
fintrac,5,5,0
pch,5,5,0
tsb,5,5,0
cfia,4,4,0
agr,4,4,0
cgc,4,4,0
feddev,4,2,2
fja,4,4,0
neb,4,4,0
oag,4,4,0
lac,3,3,0
osfi,3,2,1
cta,2,2,0
pptc,2,2,0
fin,2,2,0
cc,2,2,0
cbsa,2,2,0
vrab,1,1,0
ocl,1,1,0
sirc,1,1,0
csps,1,1,0
acoa,1,1,0
ceaa,1,1,0
ppsc,1,1,0
atssc,1,1,0
nfb,1,1,0
psc,1,1,0
