owner_acronym,total_entries,total_contracts,total_amendments
hc,554,397,157
phac,516,373,143
ec,487,346,141
ic,444,310,134
ircc,395,226,169
dnd,382,328,54
gac,320,216,104
pspc,305,209,96
dfo,176,124,52
cra,164,89,75
nrcan,146,105,41
pch,138,101,37
pc,130,100,30
nrc,120,66,54
esdc,102,99,3
tc,93,76,17
cnsc,88,54,34
ssc,85,51,34
inac,76,48,28
pptc,75,58,17
just,68,55,13
ps,65,60,5
tbs,60,41,19
infra,58,55,3
pco,54,45,9
csc,34,32,2
lac,33,17,16
cfia,32,23,9
fja,29,20,9
agr,28,18,10
fin,27,17,10
ceaa,23,15,8
rcmp,22,13,9
psc,16,12,4
cbsa,15,12,3
csps,15,14,1
ppsc,15,11,4
stats,14,14,0
swc,13,12,1
osfi,9,5,4
fintrac,7,7,0
cta,6,4,2
fcac,6,3,3
feddev,6,2,4
cihr,5,3,2
csa,5,5,0
atssc,4,4,0
oto,4,3,1
ced,4,4,0
vac,3,2,1
isc,3,3,0
cpc,3,3,0
mgerc,3,3,0
cc,3,3,0
chrc,2,2,0
pbc,2,2,0
acoa,2,2,0
sshrc,2,2,0
elections,2,2,0
ocol,1,1,0
pmprb,1,1,0
crtc,1,1,0
nserc,1,1,0
cas,1,1,0
oic,1,1,0
