owner_acronym,source_year,total_entries,total_contracts,total_amendments
agr,2013,77,53,24
agr,2014,54,27,27
agr,2015,39,21,18
agr,2016,19,13,6
agr,2017,11,9,2
csa,2014,1,1,0
csc,2013,33,33,0
csc,2014,64,59,5
csc,2015,46,42,4
csc,2016,27,26,1
csc,2017,53,39,14
dfo,2010,58,58,0
dfo,2011,43,39,4
dfo,2012,26,22,4
dfo,2013,25,23,2
dfo,2014,31,29,2
dfo,2015,7,7,0
dfo,2016,6,6,0
dfo,2017,8,8,0
dnd,2008,91,90,1
dnd,2009,301,300,1
dnd,2010,446,371,75
dnd,2011,360,360,0
dnd,2012,494,487,7
dnd,2013,681,681,0
dnd,2014,528,527,1
dnd,2015,490,485,5
dnd,2016,378,378,0
dnd,2017,191,191,0
ec,2008,2,2,0
ec,2009,2,2,0
ec,2010,1,1,0
ec,2011,2,1,1
ec,2012,1,0,1
ec,2013,3,2,1
ec,2014,2,2,0
ec,2016,2,2,0
hc,2010,7,7,0
hc,2011,5,5,0
hc,2012,12,12,0
hc,2013,9,9,0
hc,2014,9,9,0
hc,2015,11,10,1
hc,2016,13,12,1
isc,2017,10,10,0
nrc,2011,2,1,1
nrc,2013,6,3,3
nrc,2014,8,6,2
nrc,2015,2,2,0
pc,2008,29,29,0
pc,2009,3,3,0
pc,2010,6,6,0
pc,2011,5,4,1
pc,2012,50,50,0
pc,2013,49,49,0
pc,2014,43,43,0
pc,2015,30,30,0
pc,2016,26,24,2
pc,2017,51,50,1
phac,2010,7,7,0
phac,2011,5,5,0
phac,2012,12,12,0
phac,2013,9,9,0
phac,2014,9,9,0
phac,2015,11,10,1
phac,2016,3,2,1
phac,2017,1,1,0
pspc,2010,1,1,0
pspc,2011,2,1,1
pspc,2012,3,2,1
pspc,2013,5,5,0
pspc,2014,3,2,1
pspc,2015,2,2,0
pspc,2016,3,3,0
pspc,2017,5,3,2
rcmp,2008,20,20,0
rcmp,2009,10,10,0
rcmp,2010,5,5,0
rcmp,2011,3,3,0
rcmp,2012,6,5,1
rcmp,2013,3,1,2
rcmp,2014,5,4,1
rcmp,2015,4,4,0
rcmp,2016,2,2,0
rcmp,2017,10,5,5
tc,2011,8,5,3
tc,2012,4,4,0
tc,2013,8,8,0
tc,2014,6,6,0
tc,2015,8,8,0
tc,2016,7,5,2
tc,2017,11,7,4
vac,2013,13,9,4
vac,2014,1,1,0
