owner_acronym,source_year,total_entries,total_contracts,total_amendments
acoa,2011,1,1,0
acoa,2012,1,0,1
agr,2013,10,5,5
agr,2014,6,1,5
agr,2015,4,1,3
agr,2016,5,3,2
cbsa,2014,2,2,0
cbsa,2015,3,3,0
cbsa,2016,1,0,1
cc,2016,1,1,0
cfia,2012,4,2,2
cfia,2013,3,3,0
cfia,2014,2,0,2
cfia,2015,1,0,1
cfia,2016,8,2,6
cfia,2017,6,1,5
cihr,2015,1,1,0
cihr,2016,5,3,2
cihr,2017,1,0,1
cnsc,2011,1,1,0
cnsc,2012,2,2,0
cnsc,2013,6,5,1
cnsc,2014,4,2,2
cnsc,2015,5,1,4
cnsc,2016,1,1,0
cnsc,2017,5,2,3
cra,2011,3,3,0
cra,2014,1,1,0
csa,2010,1,1,0
csc,2014,1,1,0
csc,2015,1,1,0
csps,2014,2,1,1
csps,2015,4,3,1
csps,2016,1,0,1
dfo,2010,8,7,1
dfo,2011,26,16,10
dfo,2012,22,11,11
dfo,2013,12,8,4
dfo,2014,2,1,1
dfo,2016,3,3,0
dfo,2017,4,1,3
dnd,2008,9,7,2
dnd,2009,12,6,6
dnd,2010,11,10,1
dnd,2011,24,23,1
dnd,2012,27,20,7
dnd,2013,5,5,0
dnd,2014,3,3,0
dnd,2015,12,11,1
dnd,2016,2,2,0
dnd,2017,4,1,3
ec,2008,9,9,0
ec,2009,16,14,2
ec,2010,18,17,1
ec,2011,12,9,3
ec,2012,20,13,7
ec,2013,16,13,3
ec,2014,9,7,2
ec,2015,1,1,0
ec,2017,2,2,0
esdc,2008,3,3,0
esdc,2009,6,6,0
esdc,2010,25,25,0
esdc,2011,16,16,0
esdc,2012,10,10,0
esdc,2013,5,5,0
esdc,2014,1,1,0
esdc,2015,3,3,0
fin,2008,4,4,0
fin,2009,2,2,0
fin,2011,4,3,1
fin,2015,1,1,0
fin,2017,2,1,1
fintrac,2012,2,2,0
fintrac,2017,1,1,0
gac,2008,16,15,1
gac,2009,8,8,0
gac,2010,7,7,0
gac,2011,14,11,3
gac,2012,20,10,10
gac,2013,15,7,8
gac,2014,12,5,7
gac,2015,7,4,3
gac,2016,5,2,3
gac,2017,7,5,2
hc,2010,1,1,0
hc,2012,2,2,0
hc,2013,3,1,2
hc,2015,1,1,0
hc,2016,1,1,0
ic,2008,2,2,0
ic,2009,3,3,0
ic,2010,2,1,1
ic,2011,4,3,1
ic,2012,3,3,0
ic,2013,2,1,1
ic,2014,1,1,0
ic,2015,1,0,1
ic,2017,2,2,0
inac,2014,1,1,0
inac,2015,1,1,0
ircc,2010,4,3,1
ircc,2011,3,2,1
ircc,2012,8,7,1
ircc,2013,14,7,7
ircc,2014,34,22,12
ircc,2015,39,26,13
ircc,2016,37,22,15
ircc,2017,36,17,19
just,2008,2,2,0
just,2009,2,2,0
just,2010,7,3,4
just,2011,5,4,1
just,2012,9,1,8
just,2013,2,1,1
lac,2013,1,1,0
lac,2015,3,2,1
neb,2015,1,1,0
neb,2016,7,6,1
neb,2017,13,13,0
nrc,2010,1,1,0
nrc,2011,1,1,0
nrc,2012,1,1,0
nrc,2015,1,1,0
nrc,2016,4,4,0
nrcan,2011,2,2,0
nrcan,2012,1,1,0
nrcan,2014,5,4,1
nrcan,2015,3,0,3
nrcan,2016,2,1,1
nrcan,2017,4,2,2
pc,2011,2,1,1
pc,2012,1,0,1
pc,2017,2,1,1
pch,2008,1,1,0
pch,2009,8,3,5
pch,2010,4,1,3
pch,2011,7,3,4
pch,2012,7,2,5
pch,2013,8,5,3
pch,2014,4,2,2
pch,2015,7,5,2
pch,2016,5,2,3
pch,2017,9,3,6
pco,2010,1,1,0
pco,2011,1,1,0
pco,2012,1,1,0
pco,2014,1,1,0
pco,2015,1,1,0
phac,2010,1,1,0
phac,2012,2,2,0
phac,2013,3,1,2
phac,2015,1,1,0
pptc,2010,1,1,0
pptc,2011,1,1,0
pptc,2012,1,0,1
pptc,2014,9,9,0
ps,2009,2,2,0
ps,2010,11,11,0
ps,2011,4,4,0
ps,2012,1,1,0
psc,2010,3,2,1
psc,2011,1,1,0
psc,2012,1,1,0
psc,2013,1,0,1
psc,2014,1,1,0
psc,2017,1,1,0
psic,2017,1,1,0
pspc,2008,71,58,13
pspc,2009,69,56,13
pspc,2010,78,51,27
pspc,2011,46,30,16
pspc,2012,48,27,21
pspc,2013,23,12,11
pspc,2014,7,1,6
pspc,2015,6,2,4
pspc,2016,4,1,3
pspc,2017,3,3,0
rcmp,2010,4,1,3
rcmp,2011,7,5,2
rcmp,2012,10,6,4
rcmp,2013,8,3,5
rcmp,2014,6,1,5
rcmp,2015,6,1,5
rcmp,2016,4,0,4
rcmp,2017,6,1,5
ssc,2012,68,38,30
ssc,2013,26,23,3
ssc,2014,12,9,3
ssc,2015,35,20,15
ssc,2016,106,31,75
ssc,2017,81,13,68
stats,2012,1,1,0
tbs,2008,2,2,0
tbs,2009,3,2,1
tbs,2012,1,1,0
tbs,2013,1,1,0
tbs,2014,1,1,0
tc,2011,8,5,3
tc,2012,4,3,1
tc,2013,1,0,1
tc,2014,3,2,1
tc,2015,2,1,1
tc,2016,1,0,1
