owner_acronym,total_entries,total_contracts,total_amendments
pspc,355,241,114
ssc,328,134,194
ircc,175,106,69
gac,111,74,37
dnd,109,88,21
ec,103,85,18
dfo,77,47,30
esdc,69,69,0
pch,60,27,33
rcmp,51,18,33
just,27,13,14
agr,25,10,15
cnsc,24,14,10
cfia,24,8,16
neb,21,20,1
ic,20,16,4
tc,19,11,8
ps,18,18,0
nrcan,17,10,7
fin,13,11,2
pptc,12,11,1
nrc,8,8,0
hc,8,6,2
psc,8,6,2
tbs,8,7,1
csps,7,4,3
cihr,7,4,3
phac,7,5,2
cbsa,6,5,1
pco,5,5,0
pc,5,2,3
lac,4,3,1
cra,4,4,0
fintrac,3,3,0
inac,2,2,0
csc,2,2,0
acoa,2,1,1
cc,1,1,0
stats,1,1,0
csa,1,1,0
psic,1,1,0
