owner_acronym,total_entries,total_contracts,total_amendments
pspc,109,85,24
ircc,102,84,18
dnd,101,94,7
rcmp,83,82,1
ssc,63,49,14
stats,55,55,0
esdc,50,50,0
ec,46,43,3
ic,42,39,3
gac,40,28,12
dfo,34,26,8
nrc,33,33,0
cfia,28,24,4
cra,27,21,6
inac,23,23,0
tc,21,18,3
ced,21,20,1
csa,19,19,0
psc,14,12,2
nrcan,13,12,1
vac,11,11,0
acoa,11,11,0
pc,10,10,0
infra,9,8,1
cbsa,9,9,0
cihr,8,8,0
agr,8,8,0
phac,6,6,0
pptc,5,5,0
pch,5,4,1
lac,4,4,0
hc,4,4,0
cnsc,3,3,0
cta,3,3,0
pco,2,2,0
fintrac,2,2,0
nfb,2,2,0
oag,2,2,0
chrc,2,2,0
sshrc,2,2,0
csc,1,1,0
elections,1,1,0
cas,1,1,0
tbs,1,1,0
ijc,1,1,0
just,1,1,0
