owner_acronym,total_entries,total_contracts,total_amendments
esdc,447,312,135
pspc,101,77,24
gac,81,65,16
ssc,65,34,31
ic,61,44,17
dnd,57,37,20
nrc,29,20,9
dfo,25,14,11
rcmp,18,10,8
tbs,18,16,2
tc,16,13,3
oag,15,14,1
hc,15,8,7
inac,14,11,3
nrcan,14,10,4
cfia,13,7,6
phac,11,7,4
agr,10,7,3
cra,6,4,2
pch,6,4,2
cbsa,6,4,2
ircc,5,4,1
cnsc,5,4,1
infra,4,3,1
fin,3,3,0
ec,3,3,0
pco,3,3,0
ps,3,3,0
ced,3,2,1
stats,3,3,0
ppsc,2,1,1
csc,2,2,0
osfi,2,2,0
pc,2,2,0
psc,2,1,1
cc,1,1,0
crtc,1,1,0
vac,1,1,0
csa,1,1,0
isc,1,1,0
psic,1,1,0
lac,1,1,0
atssc,1,1,0
