owner_acronym,source_year,total_entries,total_contracts,total_amendments
cc,2009,1,1,0
ceaa,2009,2,1,1
ced,2016,1,1,0
ced,2017,2,0,2
cfia,2014,1,1,0
cfia,2016,1,1,0
cihr,2016,1,1,0
cihr,2017,2,0,2
cnsc,2015,3,3,0
cnsc,2016,4,2,2
cnsc,2017,6,2,4
csa,2010,1,1,0
csa,2011,2,2,0
csa,2012,2,2,0
csa,2013,1,1,0
csa,2014,1,1,0
csa,2015,2,2,0
csa,2016,2,1,1
csa,2017,5,4,1
csc,2014,1,1,0
dfo,2010,10,9,1
dfo,2011,19,12,7
dfo,2012,7,4,3
dfo,2013,8,5,3
dfo,2014,2,1,1
dfo,2015,3,2,1
dfo,2016,5,4,1
dfo,2017,3,2,1
dnd,2008,1,1,0
dnd,2009,11,8,3
dnd,2010,19,13,6
dnd,2011,8,5,3
dnd,2012,15,13,2
dnd,2013,18,14,4
dnd,2014,25,23,2
dnd,2015,24,21,3
dnd,2016,8,6,2
dnd,2017,8,7,1
ec,2008,1,1,0
ec,2009,2,1,1
ec,2010,3,3,0
ec,2011,7,7,0
ec,2012,5,5,0
ec,2013,1,1,0
elections,2016,1,1,0
elections,2017,5,2,3
esdc,2011,1,1,0
esdc,2012,4,4,0
esdc,2013,8,8,0
esdc,2014,13,13,0
esdc,2015,37,37,0
esdc,2016,47,34,13
esdc,2017,54,17,37
fcac,2011,1,1,0
fin,2010,2,1,1
fin,2011,1,0,1
fintrac,2012,1,1,0
gac,2011,1,1,0
gac,2012,1,0,1
gac,2013,1,1,0
gac,2014,2,0,2
gac,2015,2,0,2
gac,2016,1,0,1
gac,2017,1,1,0
hc,2012,2,2,0
hc,2013,3,1,2
hc,2014,5,4,1
hc,2015,3,0,3
ic,2010,1,1,0
ic,2012,1,1,0
ic,2013,1,1,0
ic,2016,2,1,1
ircc,2017,1,1,0
just,2012,1,1,0
just,2015,2,1,1
nrc,2014,1,1,0
nrc,2015,3,1,2
nrc,2016,3,0,3
nrc,2017,2,0,2
nrcan,2014,2,2,0
nrcan,2015,4,1,3
nrcan,2016,2,0,2
nrcan,2017,2,0,2
ocol,2016,1,1,0
ocol,2017,1,1,0
pbc,2011,1,1,0
pc,2009,1,1,0
pc,2011,1,0,1
pch,2008,1,1,0
pch,2009,3,2,1
pch,2010,4,1,3
pch,2011,1,0,1
pch,2012,2,1,1
pch,2013,1,1,0
pch,2014,2,1,1
pch,2016,1,0,1
pch,2017,1,0,1
phac,2012,2,2,0
phac,2013,3,1,2
phac,2014,5,4,1
phac,2015,3,0,3
ppsc,2009,1,1,0
pspc,2010,3,3,0
pspc,2011,2,1,1
pspc,2012,3,2,1
rcmp,2009,1,1,0
rcmp,2010,2,1,1
tbs,2015,1,1,0
tbs,2016,1,0,1
tbs,2017,1,1,0
