owner_acronym,total_entries,total_contracts,total_amendments
cra,732,309,423
ircc,144,98,46
gac,83,49,34
dnd,77,66,11
ec,67,54,13
pspc,63,51,12
cbsa,52,37,15
esdc,42,33,9
ic,39,32,7
ssc,30,15,15
cnsc,25,15,10
nrc,25,15,10
dfo,24,13,11
hc,16,12,4
phac,14,11,3
ps,12,12,0
just,11,10,1
tbs,11,7,4
tc,9,6,3
pc,9,7,2
cfia,7,2,5
nrcan,7,6,1
pch,6,6,0
neb,5,4,1
ppsc,4,3,1
rcmp,4,2,2
osfi,4,1,3
agr,3,3,0
cc,3,3,0
csps,3,2,1
atssc,3,2,1
vac,3,2,1
pbc,3,3,0
inac,2,2,0
csa,2,2,0
csc,2,2,0
nfb,1,1,0
ceaa,1,1,0
cihr,1,1,0
cta,1,1,0
fintrac,1,1,0
infra,1,1,0
isc,1,1,0
acoa,1,1,0
oto,1,1,0
stats,1,1,0
