owner_acronym,total_entries,total_contracts,total_amendments
esdc,354,237,117
rcmp,220,80,140
pspc,132,112,20
gac,123,80,43
dfo,109,67,42
cbsa,61,47,14
ic,50,29,21
cnsc,44,23,21
ircc,39,24,15
hc,36,20,16
tc,31,14,17
phac,29,16,13
dnd,28,23,5
ssc,28,16,12
cfia,12,6,6
neb,10,8,2
inac,10,6,4
stats,8,8,0
tbs,7,5,2
pch,7,3,4
pc,7,3,4
lac,6,3,3
elections,5,4,1
just,5,5,0
fin,5,3,2
ec,4,3,1
nrcan,4,2,2
osfi,3,2,1
fja,3,2,1
csps,3,2,1
nrc,2,2,0
ppsc,2,1,1
psc,2,1,1
cihr,2,1,1
agr,2,1,1
atssc,1,1,0
osgg,1,1,0
vac,1,1,0
cra,1,1,0
pco,1,1,0
ps,1,1,0
crtc,1,1,0
